Animal	Tag	Sex	Weight	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
1045-1108	900200000471269	Unknown	0	Group1A	IntelliCage 1	2022-09-25 16:50:40.001	2022-09-29 08:18:17.526	3	534	4173.677	1015	1620.857	8284	1068.782607	431.716001113877	60.7	324	60.0	609	0.0	0	0.0	0
1045-1126	900200000472620	Unknown	0	Group1A	IntelliCage 1	2022-09-25 14:26:51.107	2022-09-29 08:34:16.805	2	601	5104.155	1281	2012.745	8150	1128.8618141	511.800999651663	64.2	386	58.9	754	0.0	0	0.0	0
1045-1136	900200000471478	Unknown	0	Group1A	IntelliCage 1	2022-09-25 16:19:47.988	2022-09-29 08:09:54.259	3	511	4901.367	1046	1813.416	9374	1127.8589066	416.569999711588	62.2	318	58.0	607	0.0	0	0.0	0
1045-1141	900200000470680	Unknown	0	Group1A	IntelliCage 1	2022-09-25 17:16:28.435	2022-09-29 07:12:05.249	3	555	6728.141	1580	2090.126	9273	1138.9845831	399.892000578344	64.7	359	64.8	1024	0.0	0	0.0	0
dummy 1	900200000196653	Unknown	0	Group1A	IntelliCage 1 dummy animal				0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
1045-1142	900200000469486	Unknown	0	Group1B	IntelliCage 1	2022-09-25 15:53:18.086	2022-09-29 05:47:02.420	3	550	4760.176	1154	1687.472	8695	1086.3923393	419.399999461137	64.7	356	58.5	675	0.0	0	0.0	0
1045-1144	900200000471127	Unknown	0	Group1B	IntelliCage 1	2022-09-25 14:27:01.534	2022-09-29 06:46:47.040	4	446	5105.138	1246	1882.177	9101	1122.60685	457.456999666989	59.4	265	47.3	589	0.0	0	0.0	0
1045-1145	900200000402822	Unknown	0	Group1B	IntelliCage 1	2022-09-25 14:23:16.171	2022-09-29 10:05:31.798	3	516	6748.8	1609	1968.442	8602	1097.4814806	406.977999076247	64.5	333	58.9	948	0.0	0	0.0	0
1045-1149	900200000469983	Unknown	0	Group1B	IntelliCage 1	2022-09-25 15:32:45.723	2022-09-29 09:52:58.981	2	600	6513.117	1674	2506.203	10703	1339.9489739	480.178000530228	60.2	361	55.1	923	0.0	0	0.0	0
1045-1150	900200000469796	Unknown	0	Group1C	IntelliCage 1	2022-09-25 14:33:37.176	2022-09-29 08:28:06.464	3	618	6109.144	1315	2222.89	9743	1227.2969745	465.666999746114	61.7	381	48.3	635	0.0	0	0.0	0
