DateTime	Type	Cage	Corner	Side	State
2022-09-25 14:19:28.067	Air	1	1		0
2022-09-25 14:19:28.085	Air	2	1		0
2022-09-25 14:19:28.091	Air	1	2		0
2022-09-25 14:19:28.099	Air	2	2		0
2022-09-25 14:19:28.121	Air	1	3		0
2022-09-25 14:19:28.142	Air	2	3		0
2022-09-25 14:19:28.146	Air	2	4		0
2022-09-25 14:19:28.170	Air	1	4		0
2022-09-25 14:19:28.179	Door	1	1	1	0
2022-09-25 14:19:28.185	Door	2	1	1	0
2022-09-25 14:19:28.200	Led	1	1	1	0
2022-09-25 14:19:28.218	Led	2	1	1	0
2022-09-25 14:19:28.224	Door	1	1	2	0
2022-09-25 14:19:28.232	Door	2	1	2	0
2022-09-25 14:19:28.242	Led	1	1	2	0
2022-09-25 14:19:28.264	Led	2	1	2	0
2022-09-25 14:19:28.278	Door	1	2	3	0
2022-09-25 14:19:28.280	Door	2	2	3	0
2022-09-25 14:19:28.294	Led	1	2	3	0
2022-09-25 14:19:28.312	Led	2	2	3	0
2022-09-25 14:19:28.326	Door	1	2	4	0
2022-09-25 14:19:28.337	Door	2	2	4	0
2022-09-25 14:19:28.343	Led	1	2	4	0
2022-09-25 14:19:28.361	Led	2	2	4	0
2022-09-25 14:19:28.372	Door	2	3	5	0
2022-09-25 14:19:28.384	Door	1	3	5	0
2022-09-25 14:19:28.389	Led	2	3	5	0
2022-09-25 14:19:28.407	Led	1	3	5	0
2022-09-25 14:19:28.411	Door	1	3	6	0
2022-09-25 14:19:28.426	Door	2	3	6	0
2022-09-25 14:19:28.433	Led	1	3	6	0
2022-09-25 14:19:28.451	Led	2	3	6	0
2022-09-25 14:19:28.456	Door	1	4	7	0
2022-09-25 14:19:28.471	Door	2	4	7	0
2022-09-25 14:19:28.481	Led	1	4	7	0
2022-09-25 14:19:28.500	Led	2	4	7	0
2022-09-25 14:19:28.505	Door	1	4	8	0
2022-09-25 14:19:28.515	Door	2	4	8	0
2022-09-25 14:19:28.530	Led	1	4	8	0
2022-09-25 14:19:28.547	Led	2	4	8	0
2022-09-25 14:19:32.748	Door	1	1	1	0
2022-09-25 14:19:32.786	Door	1	1	2	0
2022-09-25 14:19:32.791	Door	1	2	3	0
2022-09-25 14:19:32.833	Door	1	2	4	0
2022-09-25 14:19:32.843	Door	1	3	5	0
2022-09-25 14:19:32.885	Door	1	3	6	0
2022-09-25 14:19:32.895	Door	1	4	7	0
2022-09-25 14:19:32.921	Door	1	4	8	0
2022-09-25 14:19:34.173	Door	1	1	1	1
2022-09-25 14:19:34.177	Door	1	1	2	1
2022-09-25 14:19:34.215	Door	1	2	3	1
2022-09-25 14:19:34.234	Door	1	2	4	1
2022-09-25 14:19:34.267	Door	1	3	5	1
2022-09-25 14:19:34.287	Door	1	3	6	1
2022-09-25 14:19:34.323	Door	1	4	7	1
2022-09-25 14:19:34.340	Door	1	4	8	1
2022-09-25 14:19:35.205	Door	1	1	1	1
2022-09-25 14:19:35.231	Door	1	1	2	1
2022-09-25 14:19:35.257	Door	1	2	3	1
2022-09-25 14:19:35.279	Door	1	2	4	1
2022-09-25 14:19:35.303	Door	1	3	5	1
2022-09-25 14:19:35.342	Door	1	3	6	1
2022-09-25 14:19:35.351	Door	1	4	7	1
2022-09-25 14:19:35.394	Door	1	4	8	1
2022-09-25 14:19:36.244	Door	2	3	5	0
2022-09-25 14:19:36.267	Door	2	3	6	0
2022-09-25 14:19:36.578	Door	1	1	2	0
2022-09-25 14:19:36.772	Door	1	2	3	0
2022-09-25 14:19:36.776	Door	1	2	4	0
2022-09-25 14:19:36.984	Door	1	3	5	0
2022-09-25 14:19:37.002	Door	1	3	6	0
2022-09-25 14:19:37.193	Door	1	4	7	0
2022-09-25 14:19:37.213	Door	1	4	8	0
2022-09-25 14:19:37.557	Door	1	1	1	0
2022-09-25 14:19:37.654	Door	2	3	5	1
2022-09-25 14:19:37.672	Door	2	3	6	1
2022-09-25 14:19:38.536	Door	2	3	5	1
2022-09-25 14:19:38.546	Door	2	3	6	1
2022-09-25 14:19:38.709	Door	2	1	1	0
2022-09-25 14:19:38.750	Door	2	1	2	0
2022-09-25 14:19:38.761	Door	2	2	3	0
2022-09-25 14:19:38.798	Door	2	2	4	0
2022-09-25 14:19:38.819	Door	2	3	5	1
2022-09-25 14:19:38.843	Door	2	3	6	1
2022-09-25 14:19:38.850	Door	2	4	7	0
2022-09-25 14:19:38.892	Door	2	4	8	0
2022-09-25 14:19:40.136	Door	2	1	1	1
2022-09-25 14:19:40.154	Door	2	1	2	1
2022-09-25 14:19:40.188	Door	2	2	3	1
2022-09-25 14:19:40.190	Door	2	2	4	1
