VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
9573	0	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	2	0	0	2	1.021	0	0	0	2022-10-18	18:19:46.805	1186.805	2022-10-18	18:19:57.587	1197.587	10.782	1
9576	1	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	1	Incorrect	1	3	0	0	3	0.86	0	0	0	2022-10-18	18:20:32.567	1232.567	2022-10-18	18:20:36.799	1236.799	4.232	1
9593	2	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	3	8.25	59	7.0033988	2.71600008010864	2022-10-18	18:22:38.142	1358.142	2022-10-18	18:22:54.705	1374.705	16.563	1
9646	3	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	4	9.144	60	7.2477929	3.07999992370605	2022-10-18	18:32:16.764	1936.764	2022-10-18	18:32:38.302	1958.302	21.538	1
9651	4	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	6	0	0	6	1.556	0	0	0	2022-10-18	18:32:49.550	1969.55	2022-10-18	18:32:56.480	1976.48	6.93	1
9658	5	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	1	Incorrect	1	5	0	0	5	2.106	0	0	0	2022-10-18	18:33:15.135	1995.135	2022-10-18	18:33:21.696	2001.696	6.561	1
9662	6	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-10-18	18:33:35.187	2015.187	2022-10-18	18:33:36.330	2016.33	1.143	1
9665	7	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	2	8.648	65	6.6381649	2.75900001451373	2022-10-18	18:33:38.131	2018.131	2022-10-18	18:33:53.662	2033.662	15.531	1
9713	8	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	4	0	0	4	1.643	0	0	0	2022-10-18	18:38:05.820	2285.82	2022-10-18	18:38:11.640	2291.64	5.82	1
9715	9	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	3	8.595	59	7.1133393	3.05200004577637	2022-10-18	18:38:29.224	2309.224	2022-10-18	18:38:43.254	2323.254	14.03	1
9771	10	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-10-18	18:46:39.832	2799.832	2022-10-18	18:46:40.178	2800.178	0.346	1
9774	11	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	7	0	0	7	2.879	0	0	0	2022-10-18	18:46:48.717	2808.717	2022-10-18	18:46:59.470	2819.47	10.753	1
9776	12	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	3	11.244	60	7.1550414	2.81399989128113	2022-10-18	18:47:10.033	2830.033	2022-10-18	18:47:27.455	2847.455	17.422	1
9777	13	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	1	Incorrect	1	23	0	0	23	6.504	0	0	0	2022-10-18	18:47:36.978	2856.978	2022-10-18	18:48:12.782	2892.782	35.804	1
9782	14	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	3	Incorrect	1	7	0	0	7	1.832	0	0	0	2022-10-18	18:48:21.933	2901.933	2022-10-18	18:48:32.000	2912	10.067	1
9790	15	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	2	0	0	2	0.652	0	0	0	2022-10-18	18:50:00.275	3000.275	2022-10-18	18:50:01.583	3001.583	1.308	1
9792	16	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	2	0	0	2	0.397	0	0	0	2022-10-18	18:50:04.787	3004.787	2022-10-18	18:50:06.329	3006.329	1.542	1
9794	17	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	1	0	0	1	0.08	0	0	0	2022-10-18	18:50:06.486	3006.486	2022-10-18	18:50:09.054	3009.054	2.568	1
9796	18	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	4	9.126	58	7.1166218	2.82800006866455	2022-10-18	18:50:23.695	3023.695	2022-10-18	18:50:44.290	3044.29	20.595	1
9799	19	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	1	0	0	1	0.169	0	0	0	2022-10-18	18:50:52.267	3052.267	2022-10-18	18:50:57.744	3057.744	5.477	1
9852	20	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	3	8.917	43	5.6763501	1.90399999916553	2022-10-18	19:00:07.560	3607.56	2022-10-18	19:00:23.827	3623.827	16.267	1
9858	21	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	7	0	0	7	6.774	0	0	0	2022-10-18	19:00:57.146	3657.146	2022-10-18	19:01:22.607	3682.607	25.461	1
9863	22	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	5	8.624	61	6.7358225	2.90200005471706	2022-10-18	19:01:46.688	3706.688	2022-10-18	19:02:02.003	3722.003	15.315	1
9885	23	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	3	8.606	59	7.0637495	2.94000005722046	2022-10-18	19:05:04.924	3904.924	2022-10-18	19:05:19.197	3919.197	14.273	1
9904	24	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	3	0	0	3	0.795	0	0	0	2022-10-18	19:11:36.451	4296.451	2022-10-18	19:11:43.537	4303.537	7.086	1
9915	25	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	3	0	0	3	1.756	0	0	0	2022-10-18	19:15:54.202	4554.202	2022-10-18	19:16:00.624	4560.624	6.422	1
9918	26	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	8	11.247	57	6.9977182	2.8970000743866	2022-10-18	19:16:14.497	4574.497	2022-10-18	19:17:32.922	4652.922	78.425	1
10042	27	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	4	8.206	53	6.9679013	2.89799988642335	2022-10-18	19:50:26.442	6626.442	2022-10-18	19:50:42.471	6642.471	16.029	1
10047	28	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	1	0	0	1	0.297	0	0	0	2022-10-18	19:52:47.734	6767.734	2022-10-18	19:52:52.722	6772.722	4.988	1
10142	29	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	2	7.407	52	6.8883111	2.85599994659424	2022-10-18	20:23:37.656	8617.656	2022-10-18	20:23:53.368	8633.368	15.712	1
10164	30	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	2	0	0	2	0.778	0	0	0	2022-10-18	20:31:50.331	9110.331	2022-10-18	20:31:55.608	9115.608	5.277	1
10185	31	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	3	Incorrect	1	2	0	0	2	0.083	0	0	0	2022-10-18	20:37:09.146	9429.146	2022-10-18	20:37:11.644	9431.644	2.498	1
10186	32	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-10-18	20:37:24.550	9444.55	2022-10-18	20:37:26.181	9446.181	1.631	1
10199	33	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	2	8.435	59	7.1206627	2.92600011825562	2022-10-18	20:41:32.365	9692.365	2022-10-18	20:41:46.537	9706.537	14.172	1
10200	34	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	1	Incorrect	1	1	0	0	1	0.497	0	0	0	2022-10-18	20:43:19.822	9799.822	2022-10-18	20:43:25.171	9805.171	5.349	1
10201	35	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	1	0.183	0	0	0	2022-10-18	20:43:36.239	9816.239	2022-10-18	20:43:39.319	9819.319	3.08	1
10203	36	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	2	0	0	2	0.14	0	0	0	2022-10-18	20:44:03.191	9843.191	2022-10-18	20:44:42.804	9882.804	39.613	1
10209	37	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	1	Incorrect	1	3	0	0	3	0.568	0	0	0	2022-10-18	20:45:44.782	9944.782	2022-10-18	20:45:47.231	9947.231	2.449	1
10210	38	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	3	Incorrect	1	7	0	0	7	5.107	0	0	0	2022-10-18	20:45:56.832	9956.832	2022-10-18	20:46:13.982	9973.982	17.15	1
10212	39	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	3	8.144	58	7.0326843	2.70199993252754	2022-10-18	20:46:45.942	10005.942	2022-10-18	20:47:01.500	10021.5	15.558	1
10221	40	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	2	7.894	57	6.8915146	2.68799996376038	2022-10-18	20:51:52.494	10312.494	2022-10-18	20:52:05.966	10325.966	13.472	1
10256	41	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	8	9.079	58	6.9583304	2.81399989128113	2022-10-18	20:58:33.341	10713.341	2022-10-18	20:59:14.779	10754.779	41.438	1
10260	42	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	4	0	0	4	2.026	0	0	0	2022-10-18	20:59:24.005	10764.005	2022-10-18	20:59:48.025	10788.025	24.02	1
10261	43	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	3	Incorrect	1	7	0	0	7	1.32	0	0	0	2022-10-18	20:59:50.273	10790.273	2022-10-18	20:59:57.044	10797.044	6.771	1
10262	44	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Correct	0	0	0	0	0	0	0	0	0	2022-10-18	21:00:27.507	10827.507	2022-10-18	21:00:30.663	10830.663	3.156	1
10263	45	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	2	Incorrect	1	1	0	0	1	0.71	0	0	0	2022-10-18	21:00:42.760	10842.76	2022-10-18	21:00:48.288	10848.288	5.528	1
10272	46	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	4	Correct	0	0	0	0	3	8.659	47	5.9127049	0.72800000756979	2022-10-18	21:02:13.952	10933.952	2022-10-18	21:02:40.127	10960.127	26.175	1
10301	47	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 3	2	1	Incorrect	1	2	0	0	2	0.468	0	0	0	2022-10-18	21:09:28.752	11368.752	2022-10-18	21:09:34.885	11374.885	6.133	1
