VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
3131	0	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	2	0	0	2	1.507	0	0	0	2022-10-16	18:00:38.392	38.392	2022-10-16	18:00:44.451	44.451	6.059	1
3132	1	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	21	25.701	58	6.9359382	2.64599990844727	2022-10-16	18:00:46.541	46.541	2022-10-16	18:01:49.723	109.723	63.182	1
3133	2	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-10-16	18:02:16.820	136.82	2022-10-16	18:02:19.393	139.393	2.573	1
3138	3	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	1	0	0	1	0.851	0	0	0	2022-10-16	18:03:30.591	210.591	2022-10-16	18:03:34.205	214.205	3.614	1
3156	4	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	12	17.842	62	7.2473544	3.00999999046326	2022-10-16	18:10:39.062	639.062	2022-10-16	18:11:06.679	666.679	27.617	1
3158	5	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	3	0	0	3	0.565	0	0	0	2022-10-16	18:11:15.573	675.573	2022-10-16	18:11:20.559	680.559	4.986	1
3161	6	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	5	12.138	54	6.635294	3.1360000371933	2022-10-16	18:11:23.990	683.99	2022-10-16	18:11:40.262	700.262	16.272	1
3162	7	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	2	0	0	2	0.735	0	0	0	2022-10-16	18:11:51.682	711.682	2022-10-16	18:11:57.923	717.923	6.241	1
3179	8	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	12	14.627	57	6.9504105	2.75800001621246	2022-10-16	18:15:51.462	951.462	2022-10-16	18:16:17.671	977.671	26.209	1
3193	9	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	10	0	0	10	3.335	0	0	0	2022-10-16	18:17:24.914	1044.914	2022-10-16	18:17:39.532	1059.532	14.618	1
3204	10	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	2	0	0	2	1.7	0	0	0	2022-10-16	18:19:45.404	1185.404	2022-10-16	18:19:59.940	1199.94	14.536	1
3207	11	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	4	0	0	4	0.735	0	0	0	2022-10-16	18:20:11.784	1211.784	2022-10-16	18:20:19.755	1219.755	7.971	1
3211	12	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	7	12.717	60	7.2614641	2.81599998474121	2022-10-16	18:20:27.402	1227.402	2022-10-16	18:20:55.874	1255.874	28.472	1
3226	13	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2022-10-16	18:22:44.986	1364.986	2022-10-16	18:22:46.569	1366.569	1.583	1
3229	14	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	4	0	0	4	0.253	0	0	0	2022-10-16	18:22:53.275	1373.275	2022-10-16	18:22:55.854	1375.854	2.579	1
3236	15	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	2	0	0	2	0.171	0	0	0	2022-10-16	18:23:18.297	1398.297	2022-10-16	18:23:24.863	1404.863	6.566	1
