VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
6323	0	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	1	0.186	0	0	0	2022-10-17	18:07:08.275	428.275	2022-10-17	18:07:13.605	433.605	5.33	1
6355	1	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	1	Incorrect	1	4	0	0	4	0.383	0	0	0	2022-10-17	18:13:18.086	798.086	2022-10-17	18:13:21.679	801.679	3.593	1
6357	2	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	1	0.125	0	0	0	2022-10-17	18:13:30.190	810.19	2022-10-17	18:13:32.683	812.683	2.493	1
6360	3	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	2	Incorrect	1	3	0	0	3	1.945	0	0	0	2022-10-17	18:13:37.071	817.071	2022-10-17	18:13:44.986	824.986	7.915	1
6362	4	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2022-10-17	18:13:58.850	838.85	2022-10-17	18:14:03.591	843.591	4.741	1
6368	5	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	0	0	0	0	0	2022-10-17	18:14:48.033	888.033	2022-10-17	18:14:49.035	889.035	1.002	1
6369	6	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	3	10.034	60	7.0744394	2.78600001335144	2022-10-17	18:14:49.584	889.584	2022-10-17	18:15:09.668	909.668	20.084	1
6386	7	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	1	Incorrect	1	18	0	0	18	18.492	0	0	0	2022-10-17	18:17:05.901	1025.901	2022-10-17	18:17:44.170	1064.17	38.269	1
6394	8	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	1	Incorrect	1	6	0	0	6	1.265	0	0	0	2022-10-17	18:18:16.450	1096.45	2022-10-17	18:18:35.137	1115.137	18.687	1
6405	9	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	1	Incorrect	1	2	0	0	2	1.432	0	0	0	2022-10-17	18:18:57.365	1137.365	2022-10-17	18:19:05.159	1145.159	7.794	1
6408	10	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	2	Incorrect	1	4	0	0	4	3.195	0	0	0	2022-10-17	18:19:06.139	1146.139	2022-10-17	18:19:18.364	1158.364	12.225	1
6411	11	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	6	8.77	58	7.2094115	2.84200001507998	2022-10-17	18:19:41.087	1181.087	2022-10-17	18:20:12.136	1212.136	31.049	1
6496	12	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	2	Incorrect	1	5	0	0	5	2.007	0	0	0	2022-10-17	18:31:45.741	1905.741	2022-10-17	18:31:51.679	1911.679	5.938	1
6500	13	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	0	0	0	0	0	2022-10-17	18:32:18.960	1938.96	2022-10-17	18:32:19.995	1939.995	1.035	1
6512	14	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	3	10.634	60	7.1547348	2.75800001621246	2022-10-17	18:33:07.448	1987.448	2022-10-17	18:33:27.567	2007.567	20.119	1
6532	15	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	3	8.398	65	6.5041354	1.32699999026954	2022-10-17	18:36:09.442	2169.442	2022-10-17	18:36:23.709	2183.709	14.267	1
6564	16	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	3	Incorrect	1	1	0	0	1	0.141	0	0	0	2022-10-17	18:41:33.214	2493.214	2022-10-17	18:41:37.351	2497.351	4.137	1
6621	17	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	2	Incorrect	1	2	0	0	2	1.604	0	0	0	2022-10-17	18:48:23.369	2903.369	2022-10-17	18:48:29.157	2909.157	5.788	1
6632	18	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	11	10.187	73	7.3035168	2.49599999189377	2022-10-17	18:49:13.552	2953.552	2022-10-17	18:49:36.670	2976.67	23.118	1
6640	19	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	2	Incorrect	1	2	0	0	2	1.052	0	0	0	2022-10-17	18:50:33.398	3033.398	2022-10-17	18:50:37.188	3037.188	3.79	1
6642	20	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	3	9.103	62	7.0365293	2.72799998894334	2022-10-17	18:50:47.231	3047.231	2022-10-17	18:51:09.144	3069.144	21.913	1
6694	21	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	2	Incorrect	1	1	0	0	1	0.952	0	0	0	2022-10-17	18:58:04.130	3484.13	2022-10-17	18:58:06.805	3486.805	2.675	1
6696	22	0876-1028	900200000102855	Unknown	Group2A	1 Place learning 2	2	4	Correct	0	0	0	0	2	8.236	58	7.0433296	2.81399989128113	2022-10-17	18:58:42.963	3522.963	2022-10-17	18:58:57.272	3537.272	14.309	1
