VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
5785	360	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	3	Incorrect	1	2	0	0	2	0.176	0	0	0	2022-10-21	07:12:51.094	145313.734	2022-10-21	07:12:55.385	145318.025	4.291	1
5786	361	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	2	Correct	0	0	0	0	2	1.259	0	0	0	2022-10-21	07:13:13.278	145335.918	2022-10-21	07:13:19.010	145341.65	5.732	1
5788	362	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	2	Correct	0	0	0	0	4	1.491	0	0	0	2022-10-21	07:14:12.184	145394.824	2022-10-21	07:14:19.592	145402.232	7.408	1
5789	363	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	4	Incorrect	1	1	0	0	1	0.835	0	0	0	2022-10-21	07:17:52.520	145615.16	2022-10-21	07:17:56.463	145619.103	3.943	1
5791	364	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	2	Correct	0	0	0	0	2	1.184	0	0	0	2022-10-21	07:23:11.213	145933.853	2022-10-21	07:23:16.958	145939.598	5.745	1
5792	365	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	4	Incorrect	1	14	0	0	14	10.26	0	0	0	2022-10-21	07:23:41.377	145964.017	2022-10-21	07:24:18.752	146001.392	37.375	1
5793	366	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	1	Incorrect	1	12	0	0	12	5.931	0	0	0	2022-10-21	07:25:42.394	146085.034	2022-10-21	07:26:20.903	146123.543	38.509	1
5794	367	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	1	Incorrect	1	5	0	0	5	2.465	0	0	0	2022-10-21	07:27:03.578	146166.218	2022-10-21	07:27:42.043	146204.683	38.465	1
5795	368	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	2	Correct	0	0	0	0	2	2.527	0	0	0	2022-10-21	07:27:57.559	146220.199	2022-10-21	07:28:08.177	146230.817	10.618	1
5848	369	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	4	Incorrect	1	2	0	0	2	0.921	0	0	0	2022-10-21	09:41:25.616	154228.256	2022-10-21	09:41:32.159	154234.799	6.543	1
5868	370	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	2	Correct	0	0	0	0	3	1.11	0	0	0	2022-10-21	10:20:02.814	156545.454	2022-10-21	10:20:08.646	156551.286	5.832	1
5885	371	0876-1028	900200000102855	Unknown	Group2A	2 No water D2	2	4	Incorrect	1	4	0	0	4	1.389	0	0	0	2022-10-21	12:56:44.599	165947.239	2022-10-21	12:56:49.354	165951.994	4.755	1
