VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
8968	598	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	5	3.105	0	0	0	2022-10-22	06:00:14.588	227357.228	2022-10-22	06:00:42.292	227384.932	27.704	1
8970	599	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	1	Incorrect	1	8	0	0	8	8.479	0	0	0	2022-10-22	06:00:57.492	227400.132	2022-10-22	06:01:39.382	227442.022	41.89	1
8993	600	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	1	0.923	0	0	0	2022-10-22	06:09:12.455	227895.095	2022-10-22	06:09:19.465	227902.105	7.01	1
9013	601	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	3	1.902	0	0	0	2022-10-22	06:29:13.867	229096.507	2022-10-22	06:29:21.853	229104.493	7.986	1
9014	602	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	3	0	0	3	1.716	0	0	0	2022-10-22	06:31:22.484	229225.124	2022-10-22	06:31:28.332	229230.972	5.848	1
9017	603	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	3	1.567	0	0	0	2022-10-22	06:33:53.244	229375.884	2022-10-22	06:33:57.802	229380.442	4.558	1
9021	604	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	3	1.634	0	0	0	2022-10-22	06:44:18.696	230001.336	2022-10-22	06:44:23.529	230006.169	4.833	1
9023	605	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	3	0	0	3	1.873	0	0	0	2022-10-22	06:48:36.915	230259.555	2022-10-22	06:49:28.328	230310.968	51.413	1
9047	606	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	2	0.539	0	0	0	2022-10-22	09:53:35.218	241357.858	2022-10-22	09:53:42.490	241365.13	7.272	1
9072	607	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	3	1.833	0	0	0	2022-10-22	11:47:06.909	248169.549	2022-10-22	11:47:12.241	248174.881	5.332	1
9073	608	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	2	0	0	2	0.395	0	0	0	2022-10-22	11:47:27.769	248190.409	2022-10-22	11:47:32.729	248195.369	4.96	1
9103	609	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	2	0	0	2	0.271	0	0	0	2022-10-22	13:33:19.957	254542.597	2022-10-22	13:33:25.791	254548.431	5.834	1
9107	610	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2022-10-22	13:33:33.055	254555.695	2022-10-22	13:33:35.385	254558.025	2.33	1
9108	611	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	6	2.815	0	0	0	2022-10-22	13:33:41.446	254564.086	2022-10-22	13:33:49.042	254571.682	7.596	1
9128	612	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	4	0	0	4	3.714	0	0	0	2022-10-22	13:48:43.671	255466.311	2022-10-22	13:48:55.262	255477.902	11.591	1
9194	613	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	5	3.154	0	0	0	2022-10-22	16:17:09.347	264371.987	2022-10-22	16:17:16.388	264379.028	7.041	1
9232	614	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	1	Incorrect	1	6	0	0	6	2.137	0	0	0	2022-10-22	16:33:40.900	265363.54	2022-10-22	16:33:48.131	265370.771	7.231	1
9233	615	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	3	0	0	3	0.82	0	0	0	2022-10-22	16:34:06.106	265388.746	2022-10-22	16:34:09.842	265392.482	3.736	1
9242	616	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-10-22	16:36:09.918	265512.558	2022-10-22	16:36:10.180	265512.82	0.262	1
9244	617	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	6	2.032	0	0	0	2022-10-22	16:36:13.236	265515.876	2022-10-22	16:36:21.686	265524.326	8.45	1
9245	618	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	1	0.353	0	0	0	2022-10-22	16:36:32.377	265535.017	2022-10-22	16:36:34.614	265537.254	2.237	1
9258	619	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	4	2.157	0	0	0	2022-10-22	16:45:03.456	266046.096	2022-10-22	16:45:08.519	266051.159	5.063	1
9298	620	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	4	2.582	0	0	0	2022-10-22	17:59:27.817	270510.457	2022-10-22	17:59:34.401	270517.041	6.584	1
9299	621	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	4	0	0	4	2.069	0	0	0	2022-10-22	17:59:45.408	270528.048	2022-10-22	17:59:52.958	270535.598	7.55	1
9308	622	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	3	Incorrect	1	9	0	0	9	3.006	0	0	0	2022-10-22	18:02:15.571	270678.211	2022-10-22	18:02:45.430	270708.07	29.859	1
9311	623	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	1	Incorrect	1	6	0	0	6	1.602	0	0	0	2022-10-22	18:03:03.832	270726.472	2022-10-22	18:03:16.148	270738.788	12.316	1
9318	624	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	3	0.787	0	0	0	2022-10-22	18:03:50.283	270772.923	2022-10-22	18:03:55.047	270777.687	4.764	1
9326	625	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2022-10-22	18:06:36.623	270939.263	2022-10-22	18:06:37.760	270940.4	1.137	1
9327	626	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	1	Incorrect	1	1	0	0	1	0.167	0	0	0	2022-10-22	18:06:40.668	270943.308	2022-10-22	18:06:43.964	270946.604	3.296	1
9338	627	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	7	2.941	0	0	0	2022-10-22	18:09:28.590	271111.23	2022-10-22	18:09:36.667	271119.307	8.077	1
9413	628	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	4	1.505	0	0	0	2022-10-22	18:23:35.087	271957.727	2022-10-22	18:23:41.492	271964.132	6.405	1
9427	629	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	6	0	0	6	2.602	0	0	0	2022-10-22	18:25:13.388	272056.028	2022-10-22	18:25:21.306	272063.946	7.918	1
9471	630	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	1	Incorrect	1	3	0	0	3	0.635	0	0	0	2022-10-22	18:38:09.533	272832.173	2022-10-22	18:38:14.403	272837.043	4.87	1
9472	631	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	3	1.504	0	0	0	2022-10-22	18:38:16.571	272839.211	2022-10-22	18:38:22.972	272845.612	6.401	1
9493	632	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	4	0	0	4	0.782	0	0	0	2022-10-22	18:47:17.491	273380.131	2022-10-22	18:47:24.320	273386.96	6.829	1
9494	633	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	9	3.591	0	0	0	2022-10-22	18:47:27.707	273390.347	2022-10-22	18:47:35.185	273397.825	7.478	1
9498	634	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2022-10-22	18:47:48.679	273411.319	2022-10-22	18:47:50.400	273413.04	1.721	1
9506	635	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	1	Incorrect	1	6	0	0	6	3.078	0	0	0	2022-10-22	18:50:53.950	273596.59	2022-10-22	18:51:09.838	273612.478	15.888	1
9509	636	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	2	1.05	0	0	0	2022-10-22	18:51:13.689	273616.329	2022-10-22	18:51:40.577	273643.217	26.888	1
9519	637	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	7	0	0	7	3.583	0	0	0	2022-10-22	18:53:01.414	273724.054	2022-10-22	18:53:17.503	273740.143	16.089	1
9521	638	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	3	1.464	0	0	0	2022-10-22	18:53:29.670	273752.31	2022-10-22	18:53:36.685	273759.325	7.015	1
9523	639	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	3	2.94	0	0	0	2022-10-22	18:53:43.263	273765.903	2022-10-22	18:54:04.045	273786.685	20.782	1
9534	640	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	3	Incorrect	1	4	0	0	4	2.044	0	0	0	2022-10-22	18:55:43.573	273886.213	2022-10-22	18:55:51.243	273893.883	7.67	1
9542	641	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	4	1.321	0	0	0	2022-10-22	18:57:32.895	273995.535	2022-10-22	18:57:37.974	274000.614	5.079	1
9560	642	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	4	Incorrect	1	9	0	0	9	4.815	0	0	0	2022-10-22	19:05:30.527	274473.167	2022-10-22	19:05:48.133	274490.773	17.606	1
9570	643	0876-1028	900200000102855	Unknown	Group2A	2 No water D3	2	2	Correct	0	0	0	0	4	1.608	0	0	0	2022-10-22	19:08:08.716	274631.356	2022-10-22	19:08:19.615	274642.255	10.899	1
9702	644	0876-1028	900200000102855	Unknown	Group2A	2 ELM 2 - Acquisition	2	1	Incorrect	1	1	0	0	1	1.462	0	0	0	2022-10-22	20:05:56.810	278099.45	2022-10-22	20:06:07.120	278109.76	10.31	1
