VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
10336	0	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-10-27	07:25:36.680	5136.68	2022-10-27	07:25:40.326	5140.326	3.646	1
10400	1	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Incorrect	1	1	0	0	1	0.611	0	0	0	2022-10-27	07:55:42.138	6942.138	2022-10-27	07:55:45.384	6945.384	3.246	1
10440	2	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	4	Incorrect	1	4	0	0	4	0.627	0	0	0	2022-10-27	08:04:59.859	7499.859	2022-10-27	08:05:10.514	7510.514	10.655	1
10447	3	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	2	Correct	0	6	0	0	7	11.525	50	7.1213169	3.72399997711182	2022-10-27	08:05:38.398	7538.398	2022-10-27	08:05:59.602	7559.602	21.204	1
10449	4	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	1	Incorrect	1	1	0	0	1	0.37	0	0	0	2022-10-27	08:06:06.676	7566.676	2022-10-27	08:06:12.233	7572.233	5.557	1
10547	5	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	4	Incorrect	1	1	0	0	1	0.043	0	0	0	2022-10-27	09:51:50.906	13910.906	2022-10-27	09:51:55.926	13915.926	5.02	1
10692	6	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	2	Incorrect	1	0	0	0	0	0	0	0	0	2022-10-27	16:55:28.197	39328.197	2022-10-27	16:55:31.465	39331.465	3.268	1
10696	7	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Correct	0	4	0	0	5	7.628	32	4.4393808	1.37200001813471	2022-10-27	17:01:20.012	39680.012	2022-10-27	17:01:53.962	39713.962	33.95	1
10697	8	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Incorrect	1	5	0	0	5	1.284	0	0	0	2022-10-27	17:02:33.396	39753.396	2022-10-27	17:02:37.996	39757.996	4.6	1
10723	9	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Incorrect	1	1	0	0	1	0.501	0	0	0	2022-10-27	17:18:18.838	40698.838	2022-10-27	17:18:21.268	40701.268	2.43	1
10732	10	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	1	Incorrect	1	27	0	0	27	21.174	0	0	0	2022-10-27	17:26:37.402	41197.402	2022-10-27	17:28:07.491	41287.491	90.089	1
10740	11	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	2	Incorrect	1	4	0	0	4	1.962	0	0	0	2022-10-27	17:28:23.047	41303.047	2022-10-27	17:28:44.013	41324.013	20.966	1
10749	12	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Incorrect	1	1	0	0	1	0.566	0	0	0	2022-10-27	17:32:40.151	41560.151	2022-10-27	17:32:42.112	41562.112	1.961	1
10750	13	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 1 clockwise	2	4	Correct	0	4	0	0	5	10.517	36	4.8969304	0.560000013560057	2022-10-27	17:32:42.242	41562.242	2022-10-27	17:33:06.007	41586.007	23.765	1
10817	14	0876-1028	900200000102855	Unknown	Group2A	4 Patrolling 2 anti-clockwise	2	2	Incorrect	1	3	0	0	3	0.512	0	0	0	2022-10-27	18:14:58.418	44098.418	2022-10-27	18:15:00.801	44100.801	2.383	1
