VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
13048	0	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	06:10:19.164	619.164	2023-03-15	06:10:46.252	646.252	27.088	1
13073	1	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	2	Correct	0	0	0	0	4	0.626	0	0	0	2023-03-15	06:15:01.918	901.918	2023-03-15	06:15:04.511	904.511	2.593	1
13080	2	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	06:17:20.051	1040.051	2023-03-15	06:17:32.692	1052.692	12.641	1
13082	3	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	06:17:48.885	1068.885	2023-03-15	06:17:50.580	1070.58	1.695	1
13085	4	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	2	Correct	0	0	0	0	0	0	0	0	0	2023-03-15	06:18:40.060	1120.06	2023-03-15	06:18:41.540	1121.54	1.48	1
13092	5	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	06:22:14.528	1334.528	2023-03-15	06:22:19.306	1339.306	4.778	1
13109	6	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	06:28:38.655	1718.655	2023-03-15	06:28:50.286	1730.286	11.631	1
13113	7	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	2	Correct	0	0	0	0	1	0.359	0	0	0	2023-03-15	06:29:55.155	1795.155	2023-03-15	06:30:02.145	1802.145	6.99	1
13115	8	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	1	Incorrect	1	2	0	0	2	0.967	0	0	0	2023-03-15	06:30:07.829	1807.829	2023-03-15	06:30:39.529	1839.529	31.7	1
13119	9	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	1	0	0	1	0.215	0	0	0	2023-03-15	06:31:09.734	1869.734	2023-03-15	06:31:16.444	1876.444	6.71	1
13121	10	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	06:31:18.307	1878.307	2023-03-15	06:31:20.439	1880.439	2.132	1
13123	11	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	10	0	0	10	2.905	0	0	0	2023-03-15	06:31:27.594	1887.594	2023-03-15	06:32:20.939	1940.939	53.345	1
13132	12	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	1	0	0	1	0.213	0	0	0	2023-03-15	06:32:41.761	1961.761	2023-03-15	06:33:18.794	1998.794	37.033	1
13198	13	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	1	0	0	1	0.142	0	0	0	2023-03-15	07:32:11.906	5531.906	2023-03-15	07:32:25.169	5545.169	13.263	1
13246	14	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	08:23:02.398	8582.398	2023-03-15	08:23:14.059	8594.059	11.661	1
13255	15	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	08:23:57.744	8637.744	2023-03-15	08:23:59.871	8639.871	2.127	1
13269	16	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	08:26:37.592	8797.592	2023-03-15	08:26:43.183	8803.183	5.591	1
13280	17	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	2	Correct	0	0	0	0	0	0	0	0	0	2023-03-15	08:29:05.494	8945.494	2023-03-15	08:29:08.894	8948.894	3.4	1
13311	18	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	08:37:33.264	9453.264	2023-03-15	08:37:38.863	9458.863	5.599	1
13502	19	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	11:03:14.105	18194.105	2023-03-15	11:03:26.731	18206.731	12.626	1
13503	20	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	1	Incorrect	1	1	0	0	1	0.012	0	0	0	2023-03-15	11:07:37.332	18457.332	2023-03-15	11:07:44.243	18464.243	6.911	1
13507	21	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	2	Correct	0	0	0	0	2	0.922	0	0	0	2023-03-15	11:15:15.046	18915.046	2023-03-15	11:15:26.476	18926.476	11.43	1
13508	22	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	3	Incorrect	1	1	0	0	1	0.114	0	0	0	2023-03-15	11:15:31.628	18931.628	2023-03-15	11:15:40.096	18940.096	8.468	1
13509	23	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	4	Incorrect	1	1	0	0	1	0.242	0	0	0	2023-03-15	11:15:45.039	18945.039	2023-03-15	11:15:59.022	18959.022	13.983	1
13611	24	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	15:39:46.333	34786.333	2023-03-15	15:39:49.859	34789.859	3.526	1
13612	25	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	2	Correct	0	0	0	0	0	0	0	0	0	2023-03-15	15:40:40.428	34840.428	2023-03-15	15:40:41.772	34841.772	1.344	1
13835	26	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	2	Correct	0	0	0	0	2	0.267	0	0	0	2023-03-15	17:33:23.542	41603.542	2023-03-15	17:33:26.292	41606.292	2.75	1
13842	27	0002-YK86	900200000471825	Female	Group2A	1 No water D3	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-15	17:39:09.860	41949.86	2023-03-15	17:39:13.125	41953.125	3.265	1
