VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
3294	0	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	4	Incorrect	1	1	0	0	1	0.284	0	0	0	2023-03-18	06:48:21.141	2901.141	2023-03-18	06:48:33.549	2913.549	12.408	1
3321	1	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	3	Incorrect	1	3	0	0	3	1.066	0	0	0	2023-03-18	07:02:38.336	3758.336	2023-03-18	07:02:59.928	3779.928	21.592	1
3323	2	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	2	Correct	0	0	0	0	3	1.123	0	0	0	2023-03-18	07:03:10.867	3790.867	2023-03-18	07:03:20.988	3800.988	10.121	1
3324	3	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	1	Incorrect	1	8	0	0	8	4.872	0	0	0	2023-03-18	07:03:28.690	3808.69	2023-03-18	07:04:31.260	3871.26	62.57	1
3327	4	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-18	07:04:51.610	3891.61	2023-03-18	07:04:53.611	3893.611	2.001	1
3329	5	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-18	07:04:58.319	3898.319	2023-03-18	07:04:59.990	3899.99	1.671	1
3331	6	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	1	Incorrect	1	3	0	0	3	2.415	0	0	0	2023-03-18	07:05:35.798	3935.798	2023-03-18	07:06:05.020	3965.02	29.222	1
3336	7	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	1	Incorrect	1	1	0	0	1	0.409	0	0	0	2023-03-18	07:07:07.805	4027.805	2023-03-18	07:07:11.410	4031.41	3.605	1
3348	8	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	4	Incorrect	1	3	0	0	3	1.821	0	0	0	2023-03-18	07:22:03.646	4923.646	2023-03-18	07:22:10.766	4930.766	7.12	1
3412	9	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-18	08:51:23.040	10283.04	2023-03-18	08:51:33.093	10293.093	10.053	1
3413	10	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-18	08:51:59.253	10319.253	2023-03-18	08:52:09.120	10329.12	9.867	1
3414	11	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	2	Correct	0	0	0	0	1	0.34	0	0	0	2023-03-18	08:52:22.032	10342.032	2023-03-18	08:52:32.243	10352.243	10.211	1
3497	12	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	4	Incorrect	1	1	0	0	1	0.1	0	0	0	2023-03-18	11:58:28.179	21508.179	2023-03-18	11:58:39.832	21519.832	11.653	1
3511	13	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	1	Incorrect	1	2	0	0	2	1.097	0	0	0	2023-03-18	12:40:45.305	24045.305	2023-03-18	12:40:56.042	24056.042	10.737	1
3514	14	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	3	Incorrect	1	1	0	0	1	0.426	0	0	0	2023-03-18	12:41:39.450	24099.45	2023-03-18	12:41:49.446	24109.446	9.996	1
3519	15	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	2	Correct	0	0	0	0	1	0.128	0	0	0	2023-03-18	12:42:46.609	24166.609	2023-03-18	12:42:50.259	24170.259	3.65	1
3522	16	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-18	12:43:22.863	24202.863	2023-03-18	12:43:34.502	24214.502	11.639	1
3588	17	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-18	15:35:13.361	34513.361	2023-03-18	15:35:23.739	34523.739	10.378	1
3590	18	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-18	15:35:29.237	34529.237	2023-03-18	15:35:35.577	34535.577	6.34	1
3714	19	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	4	Incorrect	1	1	0	0	1	0.34	0	0	0	2023-03-18	17:23:57.791	41037.791	2023-03-18	17:24:01.697	41041.697	3.906	1
3720	20	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	2	Correct	0	0	0	0	2	0.398	0	0	0	2023-03-18	17:28:27.144	41307.144	2023-03-18	17:28:29.295	41309.295	2.151	1
3722	21	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	1	Incorrect	1	1	0	0	1	0.667	0	0	0	2023-03-18	17:30:07.870	41407.87	2023-03-18	17:30:15.488	41415.488	7.618	1
3796	22	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-18	18:36:41.005	45401.005	2023-03-18	18:36:51.134	45411.134	10.129	1
3800	23	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-18	18:37:11.325	45431.325	2023-03-18	18:37:15.808	45435.808	4.483	1
4050	24	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	3	Incorrect	1	1	0	0	1	0.495	0	0	0	2023-03-18	19:05:45.409	47145.409	2023-03-18	19:05:50.002	47150.002	4.593	1
4059	25	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	2	Correct	0	0	0	0	1	0.638	0	0	0	2023-03-18	19:06:03.228	47163.228	2023-03-18	19:06:15.939	47175.939	12.711	1
4068	26	0002-YK86	900200000471825	Female	Group2A	2 No water D1	2	4	Incorrect	1	2	0	0	2	2.897	0	0	0	2023-03-18	19:06:48.746	47208.746	2023-03-18	19:07:03.103	47223.103	14.357	1
