VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
7475	0	0002-YK86	900200000471825	Female	Group2A	2 No water D2	2	1	Incorrect	1	2	0	0	2	0.411	0	0	0	2023-03-19	07:37:39.617	5859.617	2023-03-19	07:37:52.039	5872.039	12.422	1
7550	1	0002-YK86	900200000471825	Female	Group2A	2 No water D2	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-19	09:16:46.369	11806.369	2023-03-19	09:16:50.115	11810.115	3.746	1
7586	2	0002-YK86	900200000471825	Female	Group2A	2 No water D2	2	1	Incorrect	1	1	0	0	1	0.795	0	0	0	2023-03-19	12:42:24.795	24144.795	2023-03-19	12:42:30.505	24150.505	5.71	1
7587	3	0002-YK86	900200000471825	Female	Group2A	2 No water D2	2	4	Incorrect	1	5	0	0	5	1.675	0	0	0	2023-03-19	12:43:02.274	24182.274	2023-03-19	12:43:10.861	24190.861	8.587	1
7588	4	0002-YK86	900200000471825	Female	Group2A	2 No water D2	2	2	Correct	0	0	0	0	2	1.134	0	0	0	2023-03-19	12:44:10.135	24250.135	2023-03-19	12:44:16.709	24256.709	6.574	1
7617	5	0002-YK86	900200000471825	Female	Group2A	2 No water D2	2	2	Correct	0	0	0	0	2	0.467	0	0	0	2023-03-19	14:44:15.349	31455.349	2023-03-19	14:44:18.883	31458.883	3.534	1
7633	6	0002-YK86	900200000471825	Female	Group2A	2 No water D2	2	1	Incorrect	1	2	0	0	2	0.67	0	0	0	2023-03-19	15:19:31.965	33571.965	2023-03-19	15:19:38.591	33578.591	6.626	1
7635	7	0002-YK86	900200000471825	Female	Group2A	2 No water D2	2	4	Incorrect	1	3	0	0	3	1.062	0	0	0	2023-03-19	15:19:53.219	33593.219	2023-03-19	15:19:59.772	33599.772	6.553	1
7636	8	0002-YK86	900200000471825	Female	Group2A	2 No water D2	2	3	Incorrect	1	4	0	0	4	1.732	0	0	0	2023-03-19	15:20:03.954	33603.954	2023-03-19	15:20:31.462	33631.462	27.508	1
7638	9	0002-YK86	900200000471825	Female	Group2A	2 No water D2	2	2	Correct	0	0	0	0	5	3.528	0	0	0	2023-03-19	15:20:50.072	33650.072	2023-03-19	15:21:11.221	33671.221	21.149	1
