VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
12024	0	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-26	06:13:19.007	799.007	2023-03-26	06:13:20.019	800.019	1.012	1
12066	1	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Incorrect	1	5	0	0	5	1.392	0	0	0	2023-03-26	06:21:00.737	1260.737	2023-03-26	06:21:06.186	1266.186	5.449	1
12068	2	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	2	Incorrect	1	3	0	0	3	1.731	0	0	0	2023-03-26	06:21:16.283	1276.283	2023-03-26	06:21:21.171	1281.171	4.888	1
12069	3	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Correct	0	2	0	0	3	9.775	54	7.0928169	2.75799989700317	2023-03-26	06:21:26.115	1286.115	2023-03-26	06:21:42.476	1302.476	16.361	1
12073	4	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	4	0	0	4	0.772	0	0	0	2023-03-26	06:21:55.681	1315.681	2023-03-26	06:21:58.980	1318.98	3.299	1
12102	5	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Incorrect	1	5	0	0	5	1.393	0	0	0	2023-03-26	06:31:03.937	1863.937	2023-03-26	06:31:12.949	1872.949	9.012	1
12109	6	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	1	0	0	1	0.568	0	0	0	2023-03-26	06:33:21.018	2001.018	2023-03-26	06:33:23.751	2003.751	2.733	1
12114	7	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Incorrect	1	9	0	0	9	3.25	0	0	0	2023-03-26	06:34:33.003	2073.003	2023-03-26	06:35:14.914	2114.914	41.911	1
12116	8	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	3	0	0	3	0.646	0	0	0	2023-03-26	06:35:29.999	2129.999	2023-03-26	06:35:35.343	2135.343	5.344	1
12120	9	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Incorrect	1	1	0	0	1	0.797	0	0	0	2023-03-26	06:37:12.543	2232.543	2023-03-26	06:37:16.749	2236.749	4.206	1
12202	10	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	2	Correct	0	0	0	0	1	9.161	54	6.8728655	2.85599994659424	2023-03-26	07:15:17.511	4517.511	2023-03-26	07:15:29.401	4529.401	11.89	1
12206	11	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Correct	0	0	0	0	1	10.228	26	7.2627075	5.21999979019165	2023-03-26	07:18:54.902	4734.902	2023-03-26	07:19:11.075	4751.075	16.173	1
12208	12	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Incorrect	1	1	0	0	1	0.455	0	0	0	2023-03-26	07:20:20.124	4820.124	2023-03-26	07:20:24.236	4824.236	4.112	1
12211	13	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Correct	0	0	0	0	3	0.921	0	0	0	2023-03-26	07:20:36.004	4836.004	2023-03-26	07:20:40.785	4840.785	4.781	1
12231	14	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	2	Incorrect	1	2	0	0	2	0.419	0	0	0	2023-03-26	07:26:10.281	5170.281	2023-03-26	07:26:12.098	5172.098	1.817	1
12233	15	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-26	07:26:18.404	5178.404	2023-03-26	07:26:19.543	5179.543	1.139	1
12252	16	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Incorrect	1	9	0	0	9	2.444	0	0	0	2023-03-26	07:30:54.685	5454.685	2023-03-26	07:31:36.855	5496.855	42.17	1
12271	17	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	3	0	0	3	0.837	0	0	0	2023-03-26	07:37:06.011	5826.011	2023-03-26	07:37:09.708	5829.708	3.697	1
12282	18	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Correct	0	2	0	0	5	10.604	54	7.2168125	2.84200000762939	2023-03-26	07:39:04.794	5944.794	2023-03-26	07:39:21.746	5961.746	16.952	1
12290	19	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	3	0	0	3	1.289	0	0	0	2023-03-26	07:40:16.818	6016.818	2023-03-26	07:40:23.084	6023.084	6.266	1
12311	20	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	2	Incorrect	1	2	0	0	2	0.981	0	0	0	2023-03-26	07:44:42.870	6282.87	2023-03-26	07:44:46.077	6286.077	3.207	1
12322	21	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Correct	0	1	0	0	2	11.008	56	7.2388524	2.84200000762939	2023-03-26	07:46:29.225	6389.225	2023-03-26	07:46:48.653	6408.653	19.428	1
12397	22	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	1	0	0	1	0.526	0	0	0	2023-03-26	07:58:58.803	7138.803	2023-03-26	07:59:01.304	7141.304	2.501	1
12610	23	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Incorrect	1	1	0	0	1	0.464	0	0	0	2023-03-26	08:47:08.283	10028.283	2023-03-26	08:47:12.545	10032.545	4.262	1
12680	24	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Incorrect	1	1	0	0	1	0.257	0	0	0	2023-03-26	09:10:31.481	11431.481	2023-03-26	09:10:40.104	11440.104	8.623	1
12703	25	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	1	0	0	1	0.464	0	0	0	2023-03-26	09:20:00.218	12000.218	2023-03-26	09:20:03.025	12003.025	2.807	1
12713	26	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	2	Correct	0	2	0	0	3	8.334	51	6.647507	2.5619999319315	2023-03-26	09:23:18.117	12198.117	2023-03-26	09:23:32.816	12212.816	14.699	1
12714	27	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Incorrect	1	1	0	0	1	0.387	0	0	0	2023-03-26	09:23:45.830	12225.83	2023-03-26	09:23:54.924	12234.924	9.094	1
12751	28	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Correct	0	0	0	0	1	8.21	51	6.6598454	2.63199996948242	2023-03-26	09:33:27.616	12807.616	2023-03-26	09:33:42.043	12822.043	14.427	1
12838	29	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	2	Incorrect	1	3	0	0	3	0.832	0	0	0	2023-03-26	09:58:12.242	14292.242	2023-03-26	09:59:42.286	14382.286	90.044	1
12844	30	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	3	0	0	3	1.157	0	0	0	2023-03-26	09:59:46.462	14386.462	2023-03-26	10:00:20.473	14420.473	34.011	1
12854	31	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Correct	0	0	0	0	2	0.213	0	0	0	2023-03-26	10:04:14.142	14654.142	2023-03-26	10:04:21.665	14661.665	7.523	1
12950	32	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-26	12:49:23.276	24563.276	2023-03-26	12:49:27.453	24567.453	4.177	1
12953	33	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	2	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-26	12:49:31.510	24571.51	2023-03-26	12:49:34.569	24574.569	3.059	1
12976	34	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Correct	0	0	0	0	1	0.208	0	0	0	2023-03-26	12:53:47.579	24827.579	2023-03-26	12:54:00.892	24840.892	13.313	1
12998	35	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	1	0	0	1	0.368	0	0	0	2023-03-26	12:58:17.961	25097.961	2023-03-26	12:58:20.143	25100.143	2.182	1
13024	36	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Incorrect	1	2	0	0	2	0.753	0	0	0	2023-03-26	13:04:37.402	25477.402	2023-03-26	13:04:41.154	25481.154	3.752	1
13147	37	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Incorrect	1	2	0	0	2	0.992	0	0	0	2023-03-26	20:09:57.006	50997.006	2023-03-26	20:10:01.897	51001.897	4.891	1
13148	38	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	2	Incorrect	1	3	0	0	3	0.448	0	0	0	2023-03-26	20:10:04.935	51004.935	2023-03-26	20:10:10.164	51010.164	5.229	1
13149	39	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	4	0	0	4	0.957	0	0	0	2023-03-26	20:10:11.652	51011.652	2023-03-26	20:10:41.898	51041.898	30.246	1
13151	40	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Correct	0	17	0	0	19	10.904	53	7.0848071	3.00999999046326	2023-03-26	20:10:54.858	51054.858	2023-03-26	20:12:11.652	51131.652	76.794	1
13443	41	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2023-03-26	22:39:27.285	59967.285	2023-03-26	22:39:29.045	59969.045	1.76	1
13635	42	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Correct	0	2	0	0	3	8.127	51	6.7969589	2.71600008010864	2023-03-26	23:02:42.841	61362.841	2023-03-26	23:02:56.676	61376.676	13.835	1
13770	43	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	2	Correct	0	2	0	0	4	8.906	50	6.7837731	2.54800002276897	2023-03-26	23:13:59.177	62039.177	2023-03-26	23:14:13.068	62053.068	13.891	1
13772	44	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	1	Correct	0	3	0	0	4	8.982	54	7.0917584	2.89800000190735	2023-03-26	23:14:26.160	62066.16	2023-03-26	23:14:48.712	62088.712	22.552	1
13775	45	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	3	Incorrect	1	2	0	0	2	0.721	0	0	0	2023-03-26	23:15:22.915	62122.915	2023-03-26	23:15:30.164	62130.164	7.249	1
13780	46	0002-YK86	900200000471825	Female	Group2A	4 Patrolling 2 anti-clockwise	2	4	Correct	0	3	0	0	6	10.795	54	7.0466727	3.09400010108948	2023-03-26	23:15:49.715	62149.715	2023-03-26	23:16:12.200	62172.2	22.485	1
