VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
15014	0	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	2	Incorrect	1	2	0	0	2	2.018	0	0	0	2022-09-28	06:12:23.492	743.492	2022-09-28	06:12:30.052	750.052	6.56	1
15166	1	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	2	Incorrect	1	1	0	0	1	0.836	0	0	0	2022-09-28	10:15:14.436	15314.436	2022-09-28	10:15:22.295	15322.295	7.859	1
15167	2	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	3	Incorrect	1	4	0	0	4	1.91	0	0	0	2022-09-28	10:15:35.278	15335.278	2022-09-28	10:15:43.867	15343.867	8.589	1
15169	3	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	4	Correct	0	0	0	0	3	1.96	0	0	0	2022-09-28	10:21:44.746	15704.746	2022-09-28	10:21:51.284	15711.284	6.538	1
15170	4	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	2	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-28	10:24:47.420	15887.42	2022-09-28	10:24:49.783	15889.783	2.363	1
15175	5	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	1	Incorrect	1	7	0	0	7	2.592	0	0	0	2022-09-28	10:31:22.971	16282.971	2022-09-28	10:31:35.386	16295.386	12.415	1
15177	6	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	3	Incorrect	1	3	0	0	3	2.471	0	0	0	2022-09-28	10:31:58.148	16318.148	2022-09-28	10:32:11.828	16331.828	13.68	1
15180	7	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	4	Correct	0	0	0	0	1	0.795	0	0	0	2022-09-28	10:37:14.321	16634.321	2022-09-28	10:37:17.576	16637.576	3.255	1
15247	8	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	2	Incorrect	1	3	0	0	3	1.604	0	0	0	2022-09-28	13:24:12.702	26652.702	2022-09-28	13:24:19.172	26659.172	6.47	1
15323	9	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	2	Incorrect	1	2	0	0	2	1.434	0	0	0	2022-09-28	16:04:58.576	36298.576	2022-09-28	16:05:04.324	36304.324	5.748	1
15324	10	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	3	Incorrect	1	3	0	0	3	2.697	0	0	0	2022-09-28	16:05:13.205	36313.205	2022-09-28	16:05:18.496	36318.496	5.291	1
15325	11	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	1	Incorrect	1	9	0	0	9	5.064	0	0	0	2022-09-28	16:05:24.791	36324.791	2022-09-28	16:05:46.680	36346.68	21.889	1
15326	12	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	4	Correct	0	0	0	0	5	2.959	0	0	0	2022-09-28	16:06:17.848	36377.848	2022-09-28	16:06:28.854	36388.854	11.006	1
15367	13	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	4	Correct	0	0	0	0	3	1.088	0	0	0	2022-09-28	16:33:36.868	38016.868	2022-09-28	16:33:47.011	38027.011	10.143	1
15447	14	1045-1109	900200000471102	Unknown	Group2A	1 No water D4	2	2	Incorrect	1	5	0	0	5	1.944	0	0	0	2022-09-28	17:35:28.264	41728.264	2022-09-28	17:35:51.128	41751.128	22.864	1
15480	15	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	4	0	0	4	1.42	0	0	0	2022-09-28	18:10:27.226	43827.226	2022-09-28	18:10:32.529	43832.529	5.303	1
15481	16	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-28	18:10:39.141	43839.141	2022-09-28	18:10:40.762	43840.762	1.621	1
15482	17	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-28	18:10:42.512	43842.512	2022-09-28	18:10:44.656	43844.656	2.144	1
15483	18	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-28	18:10:46.350	43846.35	2022-09-28	18:10:49.390	43849.39	3.04	1
15486	19	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	1	Incorrect	1	2	0	0	2	1.135	0	0	0	2022-09-28	18:11:13.019	43873.019	2022-09-28	18:11:23.580	43883.58	10.561	1
15488	20	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	1	0	0	1	0.865	0	0	0	2022-09-28	18:11:27.047	43887.047	2022-09-28	18:11:30.779	43890.779	3.732	1
15490	21	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	3	Incorrect	1	2	0	0	2	2.07	0	0	0	2022-09-28	18:11:35.112	43895.112	2022-09-28	18:11:42.699	43902.699	7.587	1
15493	22	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	2	1.926	0	0	0	2022-09-28	18:11:51.280	43911.28	2022-09-28	18:11:55.226	43915.226	3.946	1
15495	23	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-09-28	18:11:57.440	43917.44	2022-09-28	18:11:58.835	43918.835	1.395	1
15564	24	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	2	0	0	2	0.795	0	0	0	2022-09-28	18:21:21.312	44481.312	2022-09-28	18:21:25.954	44485.954	4.642	1
15568	25	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	3	1.44	0	0	0	2022-09-28	18:21:36.738	44496.738	2022-09-28	18:21:40.873	44500.873	4.135	1
15569	26	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	2	1.574	0	0	0	2022-09-28	18:21:42.769	44502.769	2022-09-28	18:21:46.549	44506.549	3.78	1
15760	27	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	1	0.863	0	0	0	2022-09-28	18:36:59.852	45419.852	2022-09-28	18:37:03.350	45423.35	3.498	1
15764	28	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-28	18:37:23.552	45443.552	2022-09-28	18:37:27.297	45447.297	3.745	1
15767	29	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	3	Incorrect	1	3	0	0	3	2.68	0	0	0	2022-09-28	18:37:34.882	45454.882	2022-09-28	18:37:44.296	45464.296	9.414	1
15842	30	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	4	Incorrect	1	1	0	0	1	0.682	0	0	0	2022-09-28	18:42:45.321	45765.321	2022-09-28	18:42:49.207	45769.207	3.886	1
15848	31	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 3	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-09-28	18:43:16.002	45796.002	2022-09-28	18:43:17.378	45797.378	1.376	1
