VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
3193	0	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	11	0	0	11	4.071	0	0	0	2022-09-26	07:22:22.605	4942.605	2022-09-26	07:22:39.753	4959.753	17.148	1
3231	1	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	2	0	0	2	1.349	0	0	0	2022-09-26	07:56:41.017	7001.017	2022-09-26	07:56:56.605	7016.605	15.588	1
3233	2	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	3	Incorrect	1	4	0	0	4	1.384	0	0	0	2022-09-26	07:57:30.518	7050.518	2022-09-26	07:57:37.404	7057.404	6.886	1
3235	3	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	1	Incorrect	1	5	0	0	5	1.674	0	0	0	2022-09-26	07:57:45.311	7065.311	2022-09-26	07:58:16.642	7096.642	31.331	1
3240	4	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-09-26	07:58:42.100	7122.1	2022-09-26	07:58:45.345	7125.345	3.245	1
3257	5	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	7	0	0	7	2.757	0	0	0	2022-09-26	08:02:02.146	7322.146	2022-09-26	08:02:14.353	7334.353	12.207	1
3258	6	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	2	Correct	0	0	0	0	1	0.466	0	0	0	2022-09-26	08:04:50.124	7490.124	2022-09-26	08:04:55.149	7495.149	5.025	1
3259	7	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	2	0	0	2	0.537	0	0	0	2022-09-26	08:05:06.225	7506.225	2022-09-26	08:05:11.483	7511.483	5.258	1
3260	8	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	3	Incorrect	1	4	0	0	4	1.241	0	0	0	2022-09-26	08:05:19.580	7519.58	2022-09-26	08:05:53.769	7553.769	34.189	1
3261	9	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	9	0	0	9	2.866	0	0	0	2022-09-26	08:06:00.072	7560.072	2022-09-26	08:06:40.595	7600.595	40.523	1
3262	10	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	1	Incorrect	1	5	0	0	5	1.131	0	0	0	2022-09-26	08:07:52.807	7672.807	2022-09-26	08:08:26.903	7706.903	34.096	1
3264	11	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	2	0	0	2	0.471	0	0	0	2022-09-26	08:09:15.835	7755.835	2022-09-26	08:09:25.391	7765.391	9.556	1
3266	12	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	08:09:31.522	7771.522	2022-09-26	08:09:35.861	7775.861	4.339	1
3267	13	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	08:10:06.174	7806.174	2022-09-26	08:10:07.420	7807.42	1.246	1
3270	14	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	4	0	0	4	1.869	0	0	0	2022-09-26	08:14:59.570	8099.57	2022-09-26	08:15:06.276	8106.276	6.706	1
3272	15	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	08:17:37.604	8257.604	2022-09-26	08:17:39.450	8259.45	1.846	1
3273	16	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	08:18:06.554	8286.554	2022-09-26	08:18:07.611	8287.611	1.057	1
3274	17	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	3	Incorrect	1	3	0	0	3	2.053	0	0	0	2022-09-26	08:18:13.530	8293.53	2022-09-26	08:18:37.300	8317.3	23.77	1
3284	18	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-09-26	08:28:39.984	8919.984	2022-09-26	08:28:42.971	8922.971	2.987	1
3315	19	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	3	Incorrect	1	2	0	0	2	1.303	0	0	0	2022-09-26	11:05:47.280	18347.28	2022-09-26	11:05:52.948	18352.948	5.668	1
3413	20	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	15:17:23.812	33443.812	2022-09-26	15:17:25.384	33445.384	1.572	1
3414	21	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	2	Correct	0	0	0	0	1	0.227	0	0	0	2022-09-26	15:18:39.341	33519.341	2022-09-26	15:18:42.218	33522.218	2.877	1
3415	22	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	15:19:16.237	33556.237	2022-09-26	15:19:17.797	33557.797	1.56	1
3437	23	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	15:36:34.756	34594.756	2022-09-26	15:36:36.090	34596.09	1.334	1
3438	24	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	1	0	0	1	0.711	0	0	0	2022-09-26	15:38:56.832	34736.832	2022-09-26	15:39:03.882	34743.882	7.05	1
3439	25	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	3	Incorrect	1	5	0	0	5	1.688	0	0	0	2022-09-26	15:39:10.100	34750.1	2022-09-26	15:39:24.612	34764.612	14.512	1
3440	26	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	1	Incorrect	1	2	0	0	2	0.994	0	0	0	2022-09-26	15:39:41.294	34781.294	2022-09-26	15:40:00.356	34800.356	19.062	1
3443	27	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	2	Correct	0	0	0	0	4	0.997	0	0	0	2022-09-26	15:41:12.789	34872.789	2022-09-26	15:41:47.414	34907.414	34.625	1
3446	28	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	2	0	0	2	1.481	0	0	0	2022-09-26	15:42:07.258	34927.258	2022-09-26	15:42:21.546	34941.546	14.288	1
3448	29	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	15:42:21.990	34941.99	2022-09-26	15:42:23.374	34943.374	1.384	1
3449	30	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-09-26	15:43:03.613	34983.613	2022-09-26	15:43:10.219	34990.219	6.606	1
3450	31	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	15:43:15.295	34995.295	2022-09-26	15:43:16.528	34996.528	1.233	1
3457	32	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	6	0	0	6	2.546	0	0	0	2022-09-26	15:48:17.635	35297.635	2022-09-26	15:48:43.621	35323.621	25.986	1
3459	33	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	1	Incorrect	1	2	0	0	2	1.304	0	0	0	2022-09-26	15:48:56.193	35336.193	2022-09-26	15:49:15.201	35355.201	19.008	1
3461	34	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	1	0	0	1	0.213	0	0	0	2022-09-26	15:49:57.860	35397.86	2022-09-26	15:50:00.590	35400.59	2.73	1
3699	35	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-09-26	17:20:17.153	40817.153	2022-09-26	17:20:18.732	40818.732	1.579	1
3737	36	1045-1109	900200000471102	Unknown	Group2A	1 No water D2	2	4	Incorrect	1	1	0	0	1	0.355	0	0	0	2022-09-26	17:37:23.263	41843.263	2022-09-26	17:37:27.527	41847.527	4.264	1
3911	37	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	6	0	0	6	6.964	0	0	0	2022-09-26	18:28:49.940	44929.94	2022-09-26	18:29:07.401	44947.401	17.461	1
3915	38	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	7	0	0	7	4.291	0	0	0	2022-09-26	18:29:13.841	44953.841	2022-09-26	18:29:28.487	44968.487	14.646	1
3926	39	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	1	0	0	1	0.286	0	0	0	2022-09-26	18:29:49.657	44989.657	2022-09-26	18:29:56.294	44996.294	6.637	1
3964	40	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	18:33:42.162	45222.162	2022-09-26	18:33:43.531	45223.531	1.369	1
3970	41	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	11	13.618	0	0	0	2022-09-26	18:34:14.166	45254.166	2022-09-26	18:34:43.966	45283.966	29.8	1
3978	42	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	5	0	0	5	2.404	0	0	0	2022-09-26	18:35:06.103	45306.103	2022-09-26	18:35:28.080	45328.08	21.977	1
4031	43	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	1	0	0	1	1.604	0	0	0	2022-09-26	18:39:30.778	45570.778	2022-09-26	18:39:41.551	45581.551	10.773	1
4032	44	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	18:39:41.898	45581.898	2022-09-26	18:39:43.562	45583.562	1.664	1
4093	45	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	3	0	0	3	0.809	0	0	0	2022-09-26	18:44:31.328	45871.328	2022-09-26	18:44:43.852	45883.852	12.524	1
4094	46	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	18:44:47.914	45887.914	2022-09-26	18:44:50.446	45890.446	2.532	1
4096	47	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	10	0	0	10	5.884	0	0	0	2022-09-26	18:44:52.865	45892.865	2022-09-26	18:45:14.795	45914.795	21.93	1
4106	48	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	5	0	0	5	1.55	0	0	0	2022-09-26	18:45:49.592	45949.592	2022-09-26	18:45:56.015	45956.015	6.423	1
4109	49	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	16	12.939	36	4.00771	1.32000005245209	2022-09-26	18:46:02.991	45962.991	2022-09-26	18:46:32.537	45992.537	29.546	1
4120	50	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	4	0	0	4	1.066	0	0	0	2022-09-26	18:46:58.844	46018.844	2022-09-26	18:47:11.398	46031.398	12.554	1
4125	51	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	2	0	0	2	2.544	0	0	0	2022-09-26	18:47:13.626	46033.626	2022-09-26	18:47:21.015	46041.015	7.389	1
4162	52	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	18:51:59.624	46319.624	2022-09-26	18:52:00.920	46320.92	1.296	1
4199	53	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	2	0	0	2	2.483	0	0	0	2022-09-26	18:55:42.386	46542.386	2022-09-26	18:55:53.256	46553.256	10.87	1
4257	54	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	19:01:02.138	46862.138	2022-09-26	19:01:07.087	46867.087	4.949	1
4259	55	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	3	0	0	3	0.365	0	0	0	2022-09-26	19:01:09.939	46869.939	2022-09-26	19:01:13.131	46873.131	3.192	1
4263	56	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	3	0	0	3	1.027	0	0	0	2022-09-26	19:01:27.129	46887.129	2022-09-26	19:01:33.792	46893.792	6.663	1
4264	57	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	2	0	0	2	1.548	0	0	0	2022-09-26	19:01:36.443	46896.443	2022-09-26	19:01:47.936	46907.936	11.493	1
4267	58	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	1	0	0	1	0.965	0	0	0	2022-09-26	19:01:51.229	46911.229	2022-09-26	19:01:56.864	46916.864	5.635	1
4300	59	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	19:05:53.438	47153.438	2022-09-26	19:05:56.926	47156.926	3.488	1
4357	60	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	9	0	0	9	6.166	0	0	0	2022-09-26	19:09:57.342	47397.342	2022-09-26	19:10:11.271	47411.271	13.929	1
4367	61	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	5	0	0	5	5.186	0	0	0	2022-09-26	19:10:21.375	47421.375	2022-09-26	19:10:35.943	47435.943	14.568	1
4372	62	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	8	5.194	0	0	0	2022-09-26	19:10:51.769	47451.769	2022-09-26	19:11:14.548	47474.548	22.779	1
4380	63	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	3	0	0	3	2.102	0	0	0	2022-09-26	19:11:56.237	47516.237	2022-09-26	19:12:10.624	47530.624	14.387	1
4386	64	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	10	16.414	60	6.6137567	2.45000004768372	2022-09-26	19:12:21.490	47541.49	2022-09-26	19:12:48.558	47568.558	27.068	1
4423	65	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	19:15:55.711	47755.711	2022-09-26	19:16:00.442	47760.442	4.731	1
4427	66	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	5	0	0	5	2.695	0	0	0	2022-09-26	19:16:10.408	47770.408	2022-09-26	19:16:20.549	47780.549	10.141	1
4516	67	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	5	10.688	55	6.3402112	2.43600010871887	2022-09-26	19:23:45.423	48225.423	2022-09-26	19:24:05.318	48245.318	19.895	1
4520	68	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-09-26	19:24:05.882	48245.882	2022-09-26	19:24:07.273	48247.273	1.391	1
4529	69	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	19:24:39.404	48279.404	2022-09-26	19:24:42.195	48282.195	2.791	1
4645	70	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	4	0	0	4	1.403	0	0	0	2022-09-26	19:39:16.324	49156.324	2022-09-26	19:39:23.189	49163.189	6.865	1
4647	71	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	15	0	0	15	10.573	0	0	0	2022-09-26	19:39:51.377	49191.377	2022-09-26	19:40:11.979	49211.979	20.602	1
4657	72	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	6	0	0	6	2.75	0	0	0	2022-09-26	19:41:31.289	49291.289	2022-09-26	19:41:40.046	49300.046	8.757	1
4660	73	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	1	0	0	1	0.241	0	0	0	2022-09-26	19:41:52.939	49312.939	2022-09-26	19:41:55.704	49315.704	2.765	1
4670	74	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	1	0.186	0	0	0	2022-09-26	19:43:01.600	49381.6	2022-09-26	19:43:07.828	49387.828	6.228	1
4675	75	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	19:43:39.455	49419.455	2022-09-26	19:43:42.491	49422.491	3.036	1
4681	76	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	4	0	0	4	1.449	0	0	0	2022-09-26	19:44:22.869	49462.869	2022-09-26	19:44:31.279	49471.279	8.41	1
4684	77	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	1	0	0	1	0.17	0	0	0	2022-09-26	19:44:33.507	49473.507	2022-09-26	19:44:35.451	49475.451	1.944	1
4706	78	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	3	0	0	3	0.609	0	0	0	2022-09-26	19:48:51.971	49731.971	2022-09-26	19:48:57.094	49737.094	5.123	1
4711	79	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	11	0	0	11	7.384	0	0	0	2022-09-26	19:49:11.764	49751.764	2022-09-26	19:49:33.850	49773.85	22.086	1
4717	80	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	10	5.976	0	0	0	2022-09-26	19:49:41.471	49781.471	2022-09-26	19:50:01.670	49801.67	20.199	1
4725	81	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	2	0	0	2	0.411	0	0	0	2022-09-26	19:50:26.766	49826.766	2022-09-26	19:50:38.399	49838.399	11.633	1
4761	82	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	19:57:22.014	50242.014	2022-09-26	19:57:28.839	50248.839	6.825	1
5316	83	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	2	0	0	2	1.293	0	0	0	2022-09-26	21:36:54.424	56214.424	2022-09-26	21:37:00.361	56220.361	5.937	1
5320	84	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	5	0	0	5	2.988	0	0	0	2022-09-26	21:37:16.006	56236.006	2022-09-26	21:37:23.778	56243.778	7.772	1
5328	85	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	9	8.892	10	1.4097921	0.336000001057982	2022-09-26	21:37:45.526	56265.526	2022-09-26	21:38:07.199	56287.199	21.673	1
5333	86	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	4	0	0	4	1.186	0	0	0	2022-09-26	21:38:36.894	56316.894	2022-09-26	21:38:41.889	56321.889	4.995	1
5337	87	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	1	0	0	1	0.668	0	0	0	2022-09-26	21:39:07.978	56347.978	2022-09-26	21:39:13.257	56353.257	5.279	1
5344	88	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	4	0	0	4	2.668	0	0	0	2022-09-26	21:39:31.030	56371.03	2022-09-26	21:39:43.698	56383.698	12.668	1
5346	89	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	2	0	0	2	1.265	0	0	0	2022-09-26	21:39:45.372	56385.372	2022-09-26	21:39:53.609	56393.609	8.237	1
5379	90	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	0	0	0	0	0	2022-09-26	21:42:32.296	56552.296	2022-09-26	21:42:36.757	56556.757	4.461	1
5435	91	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	2	0	0	2	0.343	0	0	0	2022-09-26	21:48:21.732	56901.732	2022-09-26	21:48:28.017	56908.017	6.285	1
5445	92	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	21:48:56.408	56936.408	2022-09-26	21:48:58.319	56938.319	1.911	1
5446	93	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	3	Incorrect	1	6	0	0	6	3.221	0	0	0	2022-09-26	21:49:12.451	56952.451	2022-09-26	21:49:24.195	56964.195	11.744	1
5450	94	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	14	0	0	14	6.104	0	0	0	2022-09-26	21:49:28.172	56968.172	2022-09-26	21:50:01.745	57001.745	33.573	1
5457	95	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-26	21:50:02.157	57002.157	2022-09-26	21:50:04.324	57004.324	2.167	1
5459	96	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	5	0	0	5	1.749	0	0	0	2022-09-26	21:50:14.828	57014.828	2022-09-26	21:50:34.746	57034.746	19.918	1
5463	97	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	6	0	0	6	1.377	0	0	0	2022-09-26	21:50:38.263	57038.263	2022-09-26	21:51:01.648	57061.648	23.385	1
5478	98	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	10	10.296	32	3.5951952	1.21800005435944	2022-09-26	21:51:36.615	57096.615	2022-09-26	21:52:09.262	57129.262	32.647	1
5484	99	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	7	12.413	0	0	0	2022-09-26	21:52:15.199	57135.199	2022-09-26	21:52:50.512	57170.512	35.313	1
5495	100	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	2	Correct	0	0	0	0	11	10.97	54	5.8775996	2.39000007137656	2022-09-26	21:52:58.916	57178.916	2022-09-26	21:53:23.343	57203.343	24.427	1
5506	101	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	15	0	0	15	17.377	0	0	0	2022-09-26	21:53:28.703	57208.703	2022-09-26	21:54:11.595	57251.595	42.892	1
5519	102	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	2	0	0	2	0.421	0	0	0	2022-09-26	21:54:33.076	57273.076	2022-09-26	21:54:34.305	57274.305	1.229	1
5522	103	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	15	0	0	15	21.347	0	0	0	2022-09-26	21:54:35.942	57275.942	2022-09-26	21:55:21.626	57321.626	45.684	1
5533	104	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	1	Incorrect	1	3	0	0	3	1.081	0	0	0	2022-09-26	21:55:31.949	57331.949	2022-09-26	21:55:37.794	57337.794	5.845	1
5535	105	1045-1109	900200000471102	Unknown	Group2A	1 Place learning 1	2	4	Incorrect	1	9	0	0	9	3.999	0	0	0	2022-09-26	21:55:44.473	57344.473	2022-09-26	21:56:21.176	57381.176	36.703	1
