VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
8878	0	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	2	2.313	0	0	0	2022-09-27	06:46:08.285	2768.285	2022-09-27	06:46:19.816	2779.816	11.531	1
8941	1	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	1	0.809	0	0	0	2022-09-27	07:44:33.519	6273.519	2022-09-27	07:44:36.433	6276.433	2.914	1
8947	2	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-27	07:51:07.313	6667.313	2022-09-27	07:51:16.351	6676.351	9.038	1
8948	3	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	3	1.2	0	0	0	2022-09-27	07:51:20.642	6680.642	2022-09-27	07:51:26.170	6686.17	5.528	1
9009	4	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	1	0.779	0	0	0	2022-09-27	09:44:39.472	13479.472	2022-09-27	09:44:43.448	13483.448	3.976	1
9013	5	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	1	Incorrect	1	2	0	0	2	1.562	0	0	0	2022-09-27	09:52:33.703	13953.703	2022-09-27	09:52:41.037	13961.037	7.334	1
9014	6	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	3	1.267	0	0	0	2022-09-27	09:53:07.796	13987.796	2022-09-27	09:53:13.553	13993.553	5.757	1
9025	7	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-27	10:02:25.766	14545.766	2022-09-27	10:02:27.800	14547.8	2.034	1
9026	8	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	3	Incorrect	1	2	0	0	2	1.037	0	0	0	2022-09-27	10:05:36.788	14736.788	2022-09-27	10:05:42.232	14742.232	5.444	1
9027	9	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	11	5.509	0	0	0	2022-09-27	10:05:45.810	14745.81	2022-09-27	10:06:04.337	14764.337	18.527	1
9028	10	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	8	3.56	0	0	0	2022-09-27	10:06:11.467	14771.467	2022-09-27	10:06:28.184	14788.184	16.717	1
9029	11	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	1	2.141	0	0	0	2022-09-27	10:12:08.450	15128.45	2022-09-27	10:12:13.922	15133.922	5.472	1
9030	12	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	1	0.767	0	0	0	2022-09-27	10:13:54.944	15234.944	2022-09-27	10:13:58.739	15238.739	3.795	1
9034	13	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	1	Incorrect	1	1	0	0	1	0.313	0	0	0	2022-09-27	10:18:30.073	15510.073	2022-09-27	10:18:38.707	15518.707	8.634	1
9035	14	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	3	Incorrect	1	1	0	0	1	0.166	0	0	0	2022-09-27	10:20:04.300	15604.3	2022-09-27	10:20:14.312	15614.312	10.012	1
9036	15	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	4	Incorrect	1	8	0	0	8	3.109	0	0	0	2022-09-27	10:20:17.651	15617.651	2022-09-27	10:20:40.918	15640.918	23.267	1
9037	16	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	4	Incorrect	1	3	0	0	3	1.771	0	0	0	2022-09-27	10:20:44.127	15644.127	2022-09-27	10:21:07.509	15667.509	23.382	1
9039	17	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	1	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-27	10:21:11.470	15671.47	2022-09-27	10:21:13.712	15673.712	2.242	1
9040	18	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	2	1.775	0	0	0	2022-09-27	10:21:27.620	15687.62	2022-09-27	10:21:34.341	15694.341	6.721	1
9066	19	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	2	0.994	0	0	0	2022-09-27	11:46:23.945	20783.945	2022-09-27	11:46:27.819	20787.819	3.874	1
9160	20	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	1	0.667	0	0	0	2022-09-27	14:55:03.021	32103.021	2022-09-27	14:55:07.172	32107.172	4.151	1
9175	21	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	1	0.866	0	0	0	2022-09-27	15:34:45.887	34485.887	2022-09-27	15:34:50.453	34490.453	4.566	1
9259	22	1045-1109	900200000471102	Unknown	Group2A	1 No water D3	2	2	Correct	0	0	0	0	2	2.072	0	0	0	2022-09-27	16:15:26.597	36926.597	2022-09-27	16:15:32.010	36932.01	5.413	1
