VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
5218	0	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	4	Incorrect	1	1	0	0	1	1.137	0	0	0	2022-09-30	09:45:06.598	13506.598	2022-09-30	09:45:09.619	13509.619	3.021	1
5222	1	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	4	Incorrect	1	3	0	0	3	1.05	0	0	0	2022-09-30	09:56:02.715	14162.715	2022-09-30	09:56:06.300	14166.3	3.585	1
5223	2	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	7	0	0	7	1.574	0	0	0	2022-09-30	09:56:16.048	14176.048	2022-09-30	09:56:26.015	14186.015	9.967	1
5224	3	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	4	1.631	0	0	0	2022-09-30	09:56:36.376	14196.376	2022-09-30	09:56:43.369	14203.369	6.993	1
5225	4	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	3	Incorrect	1	11	0	0	11	2.742	0	0	0	2022-09-30	09:57:08.501	14228.501	2022-09-30	09:57:36.254	14256.254	27.753	1
5226	5	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	4	Incorrect	1	8	0	0	8	2.078	0	0	0	2022-09-30	09:57:43.617	14263.617	2022-09-30	09:58:07.295	14287.295	23.678	1
5276	6	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	3	Incorrect	1	2	0	0	2	1.432	0	0	0	2022-09-30	13:50:04.116	28204.116	2022-09-30	13:50:08.930	28208.93	4.814	1
5277	7	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	4	Incorrect	1	1	0	0	1	1.005	0	0	0	2022-09-30	13:50:11.408	28211.408	2022-09-30	13:50:17.199	28217.199	5.791	1
5278	8	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	4	2.09	0	0	0	2022-09-30	13:50:22.244	28222.244	2022-09-30	13:50:32.758	28232.758	10.514	1
5279	9	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	3	1.107	0	0	0	2022-09-30	13:50:35.240	28235.24	2022-09-30	13:50:40.295	28240.295	5.055	1
5285	10	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	3	0	0	3	1.692	0	0	0	2022-09-30	13:56:53.045	28613.045	2022-09-30	13:56:59.484	28619.484	6.439	1
5286	11	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	1	0.896	0	0	0	2022-09-30	13:59:53.652	28793.652	2022-09-30	13:59:57.307	28797.307	3.655	1
5287	12	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	1	0.865	0	0	0	2022-09-30	14:01:56.539	28916.539	2022-09-30	14:01:59.503	28919.503	2.964	1
5288	13	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	3	0	0	3	1.944	0	0	0	2022-09-30	14:02:00.969	28920.969	2022-09-30	14:02:06.899	28926.899	5.93	1
5289	14	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	5	0.833	0	0	0	2022-09-30	14:09:01.765	29341.765	2022-09-30	14:09:06.483	29346.483	4.718	1
5335	15	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	3	Incorrect	1	1	0	0	1	0.595	0	0	0	2022-09-30	15:42:03.071	34923.071	2022-09-30	15:42:06.539	34926.539	3.468	1
5336	16	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	3	0.909	0	0	0	2022-09-30	15:42:14.370	34934.37	2022-09-30	15:42:19.171	34939.171	4.801	1
5375	17	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	3	0.295	0	0	0	2022-09-30	16:28:26.915	37706.915	2022-09-30	16:28:30.097	37710.097	3.182	1
5376	18	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	4	Incorrect	1	2	0	0	2	1.776	0	0	0	2022-09-30	16:29:56.924	37796.924	2022-09-30	16:30:01.880	37801.88	4.956	1
5377	19	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	5	0	0	5	3.361	0	0	0	2022-09-30	16:30:17.062	37817.062	2022-09-30	16:30:31.562	37831.562	14.5	1
5379	20	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	5	1.707	0	0	0	2022-09-30	16:30:39.033	37839.033	2022-09-30	16:30:47.118	37847.118	8.085	1
5399	21	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	2	0.651	0	0	0	2022-09-30	16:37:17.046	38237.046	2022-09-30	16:37:20.224	38240.224	3.178	1
5400	22	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	5	0	0	5	0.942	0	0	0	2022-09-30	16:37:22.697	38242.697	2022-09-30	16:37:28.275	38248.275	5.578	1
5401	23	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	4	Incorrect	1	3	0	0	3	1.736	0	0	0	2022-09-30	16:37:32.006	38252.006	2022-09-30	16:37:39.713	38259.713	7.707	1
5402	24	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	3	Incorrect	1	6	0	0	6	3.815	0	0	0	2022-09-30	16:37:41.607	38261.607	2022-09-30	16:38:18.963	38298.963	37.356	1
5405	25	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	5	2.52	0	0	0	2022-09-30	16:38:43.357	38323.357	2022-09-30	16:38:50.978	38330.978	7.621	1
5434	26	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	1	0.453	0	0	0	2022-09-30	16:49:18.858	38958.858	2022-09-30	16:49:22.086	38962.086	3.228	1
5435	27	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	2	0	0	2	1.305	0	0	0	2022-09-30	16:49:23.999	38963.999	2022-09-30	16:49:30.545	38970.545	6.546	1
5482	28	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	3	1.153	0	0	0	2022-09-30	17:19:09.644	40749.644	2022-09-30	17:19:14.387	40754.387	4.743	1
5493	29	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	3	Incorrect	1	2	0	0	2	1.162	0	0	0	2022-09-30	17:26:59.307	41219.307	2022-09-30	17:27:05.189	41225.189	5.882	1
5622	30	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	2	0.342	0	0	0	2022-09-30	18:17:51.148	44271.148	2022-09-30	18:17:55.265	44275.265	4.117	1
5688	31	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	4	Incorrect	1	1	0	0	1	0.711	0	0	0	2022-09-30	18:25:07.587	44707.587	2022-09-30	18:25:10.801	44710.801	3.214	1
5690	32	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	3	Incorrect	1	3	0	0	3	0.719	0	0	0	2022-09-30	18:25:15.023	44715.023	2022-09-30	18:25:18.790	44718.79	3.767	1
5707	33	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	3	0.712	0	0	0	2022-09-30	18:26:45.029	44805.029	2022-09-30	18:26:48.013	44808.013	2.984	1
5715	34	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	4	0	0	4	1.547	0	0	0	2022-09-30	18:27:06.117	44826.117	2022-09-30	18:27:15.126	44835.126	9.009	1
5724	35	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	2	1.32	0	0	0	2022-09-30	18:27:34.560	44854.56	2022-09-30	18:27:38.534	44858.534	3.974	1
5727	36	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	1	0	0	1	0.481	0	0	0	2022-09-30	18:27:48.002	44868.002	2022-09-30	18:27:50.810	44870.81	2.808	1
5732	37	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	4	Incorrect	1	0	0	0	0	0	0	0	0	2022-09-30	18:28:41.662	44921.662	2022-09-30	18:28:42.805	44922.805	1.143	1
5760	38	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	2	0.311	0	0	0	2022-09-30	18:30:40.229	45040.229	2022-09-30	18:30:43.447	45043.447	3.218	1
5765	39	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	1	0	0	1	0.41	0	0	0	2022-09-30	18:31:12.975	45072.975	2022-09-30	18:31:15.084	45075.084	2.109	1
5782	40	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	1	0.388	0	0	0	2022-09-30	18:32:16.188	45136.188	2022-09-30	18:32:18.349	45138.349	2.161	1
5886	41	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	3	1.745	0	0	0	2022-09-30	18:39:40.193	45580.193	2022-09-30	18:39:48.972	45588.972	8.779	1
5892	42	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	4	1.251	0	0	0	2022-09-30	18:39:53.675	45593.675	2022-09-30	18:39:57.770	45597.77	4.095	1
5894	43	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	3	Incorrect	1	4	0	0	4	3.438	0	0	0	2022-09-30	18:40:04.047	45604.047	2022-09-30	18:40:12.030	45612.03	7.983	1
5901	44	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	4	Incorrect	1	4	0	0	4	1.744	0	0	0	2022-09-30	18:40:17.001	45617.001	2022-09-30	18:40:26.594	45626.594	9.593	1
5909	45	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	5	0	0	5	3.012	0	0	0	2022-09-30	18:40:29.412	45629.412	2022-09-30	18:40:48.762	45648.762	19.35	1
5918	46	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	12	0	0	12	5.233	0	0	0	2022-09-30	18:40:59.537	45659.537	2022-09-30	18:41:21.885	45681.885	22.348	1
5922	47	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	5	0	0	5	1.05	0	0	0	2022-09-30	18:41:32.556	45692.556	2022-09-30	18:41:37.452	45697.452	4.896	1
5924	48	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	1	0.554	0	0	0	2022-09-30	18:41:42.827	45702.827	2022-09-30	18:41:54.873	45714.873	12.046	1
5997	49	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	4	Incorrect	1	4	0	0	4	1.578	0	0	0	2022-09-30	18:46:14.705	45974.705	2022-09-30	18:46:23.694	45983.694	8.989	1
6005	50	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	4	1.902	0	0	0	2022-09-30	18:46:38.166	45998.166	2022-09-30	18:46:43.572	46003.572	5.406	1
6258	51	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	2	1.19	0	0	0	2022-09-30	19:06:08.627	47168.627	2022-09-30	19:06:13.229	47173.229	4.602	1
6265	52	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	3	0	0	3	1.107	0	0	0	2022-09-30	19:06:19.163	47179.163	2022-09-30	19:06:24.173	47184.173	5.01	1
6309	53	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	3	Incorrect	1	1	0	0	1	0.567	0	0	0	2022-09-30	19:10:11.448	47411.448	2022-09-30	19:10:15.125	47415.125	3.677	1
6316	54	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	4	2.772	0	0	0	2022-09-30	19:11:17.952	47477.952	2022-09-30	19:11:37.600	47497.6	19.648	1
6410	55	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	4	0	0	4	2.89	0	0	0	2022-09-30	19:19:02.398	47942.398	2022-09-30	19:19:25.970	47965.97	23.572	1
6420	56	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	3	Incorrect	1	2	0	0	2	1.679	0	0	0	2022-09-30	19:20:33.610	48033.61	2022-09-30	19:20:41.721	48041.721	8.111	1
6492	57	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	1	Incorrect	1	2	0	0	2	0.727	0	0	0	2022-09-30	19:26:13.298	48373.298	2022-09-30	19:26:16.227	48376.227	2.929	1
6506	58	1045-1109	900200000471102	Unknown	Group2A	2 No water D1	2	2	Correct	0	0	0	0	5	1.473	0	0	0	2022-09-30	19:27:39.672	48459.672	2022-09-30	19:27:46.962	48466.962	7.29	1
