VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
7570	0	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Correct	0	0	0	0	0	0	0	0	0	2022-10-06	06:31:45.618	1905.618	2022-10-06	06:31:47.699	1907.699	2.081	1
7642	1	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	2	Incorrect	1	1	0	0	1	0.61	0	0	0	2022-10-06	08:46:26.203	9986.203	2022-10-06	08:46:29.215	9989.215	3.012	1
7645	2	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	4	Incorrect	1	1	0	0	1	0.595	0	0	0	2022-10-06	08:47:44.406	10064.406	2022-10-06	08:47:58.322	10078.322	13.916	1
7653	3	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Correct	0	0	0	0	0	0	0	0	0	2022-10-06	10:01:03.847	14463.847	2022-10-06	10:01:05.801	14465.801	1.954	1
7696	4	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	4	Incorrect	1	2	0	0	2	0.567	0	0	0	2022-10-06	14:16:38.834	29798.834	2022-10-06	14:16:50.125	29810.125	11.291	1
7773	5	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Correct	0	0	0	0	0	0	0	0	0	2022-10-06	16:00:14.677	36014.677	2022-10-06	16:00:17.715	36017.715	3.038	1
7786	6	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Correct	0	0	0	0	0	0	0	0	0	2022-10-06	16:07:14.512	36434.512	2022-10-06	16:07:15.731	36435.731	1.219	1
7787	7	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	2	Incorrect	1	0	0	0	0	0	0	0	0	2022-10-06	16:07:25.833	36445.833	2022-10-06	16:07:27.120	36447.12	1.287	1
7791	8	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	2	Incorrect	1	2	0	0	2	0.839	0	0	0	2022-10-06	16:09:02.934	36542.934	2022-10-06	16:09:08.393	36548.393	5.459	1
7825	9	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Correct	0	0	0	0	2	1.752	8	1.1199071	0.40599998831749	2022-10-06	16:18:01.364	37081.364	2022-10-06	16:18:07.352	37087.352	5.988	1
7826	10	1045-1109	900200000471102	Unknown	Group2A	4 Patrolling 1 clockwise	2	3	Incorrect	1	3	0	0	3	0.638	0	0	0	2022-10-06	16:18:08.701	37088.701	2022-10-06	16:18:12.159	37092.159	3.458	1
