Group	Challenge	Number_DAs	Success_DAs	Number_Individuals	Percentage_Success	Remaining
WT	CCW1	1	2	15	13.3333333333333	1
WT	CCW1	2	2	15	13.3333333333333	1
WT	CCW1	3	4	15	26.6666666666667	1
WT	CCW1	4	6	15	40	1
WT	CCW1	5	5	15	33.3333333333333	1
WT	CCW1	6	7	15	46.6666666666667	1
WT	CCW1	7	6	15	40	1
WT	CCW1	8	3	15	20	1
WT	CCW1	9	5	15	33.3333333333333	1
WT	CCW1	10	3	15	20	1
WT	CCW1	11	4	15	26.6666666666667	1
WT	CCW1	12	3	15	20	1
WT	CCW1	13	3	15	20	1
WT	CCW1	14	4	15	26.6666666666667	1
WT	CCW1	15	6	15	40	1
WT	CCW1	16	4	15	26.6666666666667	1
WT	CCW1	17	5	15	33.3333333333333	1
WT	CCW1	18	7	15	46.6666666666667	1
WT	CCW1	19	6	15	40	1
WT	CCW1	20	7	15	46.6666666666667	1
WT	CCW1	21	10	15	66.6666666666667	1
WT	CCW1	22	3	15	20	1
WT	CCW1	23	2	15	13.3333333333333	1
WT	CCW1	24	5	15	33.3333333333333	1
WT	CCW1	25	7	15	46.6666666666667	1
WT	CCW1	26	6	15	40	1
WT	CCW1	27	4	15	26.6666666666667	1
WT	CCW1	28	5	15	33.3333333333333	1
WT	CCW1	29	5	15	33.3333333333333	1
WT	CCW1	30	8	15	53.3333333333333	1
WT	CCW1	31	3	15	20	1
WT	CCW1	32	5	15	33.3333333333333	1
WT	CCW1	33	5	15	33.3333333333333	1
WT	CCW1	34	4	15	26.6666666666667	1
WT	CCW1	35	4	15	26.6666666666667	1
WT	CCW1	36	4	15	26.6666666666667	1
WT	CCW1	37	3	15	20	1
WT	CCW1	38	7	15	46.6666666666667	1
WT	CCW1	39	7	15	46.6666666666667	1
WT	CCW1	40	3	15	20	1
WT	CCW1	41	5	15	33.3333333333333	1
WT	CCW1	42	6	15	40	1
WT	CCW1	43	5	15	33.3333333333333	1
WT	CCW1	44	5	15	33.3333333333333	1
WT	CCW1	45	4	15	26.6666666666667	1
WT	CCW1	46	6	15	40	1
WT	CCW1	47	5	15	33.3333333333333	1
WT	CCW1	48	5	15	33.3333333333333	1
WT	CCW1	49	7	15	46.6666666666667	1
WT	CCW1	50	7	15	46.6666666666667	1
WT	CCW1	51	7	15	46.6666666666667	1
WT	CCW1	52	5	15	33.3333333333333	1
WT	CCW1	53	4	15	26.6666666666667	1
WT	CCW1	54	4	15	26.6666666666667	1
WT	CCW1	55	6	15	40	1
WT	CCW1	56	5	15	33.3333333333333	1
WT	CCW1	57	3	15	20	1
WT	CCW1	58	5	15	33.3333333333333	1
WT	CCW1	59	6	14	42.8571428571429	0.933333333333333
WT	CCW1	60	3	14	21.4285714285714	0.933333333333333
WT	CCW1	61	4	14	28.5714285714286	0.933333333333333
WT	CCW1	62	4	14	28.5714285714286	0.933333333333333
WT	CCW1	63	6	14	42.8571428571429	0.933333333333333
WT	CCW1	64	5	13	38.4615384615385	0.866666666666667
WT	CCW1	65	2	12	16.6666666666667	0.8
WT	CCW1	66	3	12	25	0.8
WT	CCW1	67	4	11	36.3636363636364	0.733333333333333
WT	CCW1	68	4	10	40	0.666666666666667
WT	CCW1	69	3	10	30	0.666666666666667
WT	CCW1	70	1	10	10	0.666666666666667
WT	CCW1	71	4	10	40	0.666666666666667
WT	CCW1	72	2	9	22.2222222222222	0.6
WT	CCW1	73	4	9	44.4444444444444	0.6
WT	CCW1	74	3	7	42.8571428571429	0.466666666666667
WT	CCW1	75	3	7	42.8571428571429	0.466666666666667
WT	CCW1	76	4	7	57.1428571428571	0.466666666666667
WT	CCW1	77	5	7	71.4285714285714	0.466666666666667
WT	CCW1	78	3	6	50	0.4
WT	CCW1	79	1	5	20	0.333333333333333
WT	CCW1	80	1	5	20	0.333333333333333
WT	CCW1	81	2	5	40	0.333333333333333
WT	CCW1	82	2	5	40	0.333333333333333
WT	CCW1	83	2	4	50	0.266666666666667
WT	CCW1	84	0	4	0	0.266666666666667
WT	CCW1	85	2	4	50	0.266666666666667
WT	CCW1	86	2	4	50	0.266666666666667
WT	CCW1	87	3	4	75	0.266666666666667
WT	CCW1	88	1	3	33.3333333333333	0.2
WT	CCW1	89	1	3	33.3333333333333	0.2
WT	CCW1	90	1	3	33.3333333333333	0.2
WT	CCW1	91	1	3	33.3333333333333	0.2
WT	CCW1	92	1	3	33.3333333333333	0.2
WT	CCW1	93	0	2	0	0.133333333333333
WT	CCW1	94	0	2	0	0.133333333333333
WT	CCW1	95	0	1	0	0.0666666666666667
WT	CCW1	96	1	1	100	0.0666666666666667
WT	CCW1	97	0	1	0	0.0666666666666667
WT	CCW1	98	1	1	100	0.0666666666666667
WT	CCW1	99	1	1	100	0.0666666666666667
WT	CCW2	1	4	15	26.6666666666667	1
WT	CCW2	2	2	15	13.3333333333333	1
WT	CCW2	3	6	15	40	1
WT	CCW2	4	5	15	33.3333333333333	1
WT	CCW2	5	6	15	40	1
WT	CCW2	6	5	15	33.3333333333333	1
WT	CCW2	7	7	15	46.6666666666667	1
WT	CCW2	8	3	15	20	1
WT	CCW2	9	6	15	40	1
WT	CCW2	10	5	15	33.3333333333333	1
WT	CCW2	11	6	15	40	1
WT	CCW2	12	4	15	26.6666666666667	1
WT	CCW2	13	3	15	20	1
WT	CCW2	14	8	15	53.3333333333333	1
WT	CCW2	15	7	15	46.6666666666667	1
WT	CCW2	16	5	15	33.3333333333333	1
WT	CCW2	17	3	15	20	1
WT	CCW2	18	6	15	40	1
WT	CCW2	19	5	15	33.3333333333333	1
WT	CCW2	20	2	15	13.3333333333333	1
