ID	Number_DAs	Success_DAs	Challenge	Group
0002-YK86	1	1	CCW1	WT
0002-YK86	2	1	CCW1	WT
0002-YK86	3	1	CCW1	WT
0002-YK86	4	2	CCW1	WT
0002-YK86	5	2	CCW1	WT
0002-YK86	6	2	CCW1	WT
0002-YK86	7	2	CCW1	WT
0002-YK86	8	2	CCW1	WT
0002-YK86	9	3	CCW1	WT
0002-YK86	10	4	CCW1	WT
0002-YK86	11	5	CCW1	WT
0002-YK86	12	5	CCW1	WT
0002-YK86	13	6	CCW1	WT
0002-YK86	14	6	CCW1	WT
0002-YK86	15	6	CCW1	WT
0002-YK86	16	6	CCW1	WT
0002-YK86	17	6	CCW1	WT
0002-YK86	18	7	CCW1	WT
0002-YK86	19	7	CCW1	WT
0002-YK86	20	7	CCW1	WT
0002-YK86	21	7	CCW1	WT
0002-YK86	22	7	CCW1	WT
0002-YK86	23	7	CCW1	WT
0002-YK86	24	8	CCW1	WT
0002-YK86	25	8	CCW1	WT
0002-YK86	26	9	CCW1	WT
0002-YK86	27	9	CCW1	WT
0002-YK86	28	10	CCW1	WT
0002-YK86	29	10	CCW1	WT
0002-YK86	30	10	CCW1	WT
0002-YK86	31	10	CCW1	WT
0002-YK86	32	10	CCW1	WT
0002-YK86	33	10	CCW1	WT
0002-YK86	34	10	CCW1	WT
0002-YK86	35	11	CCW1	WT
0002-YK86	36	11	CCW1	WT
0002-YK86	37	12	CCW1	WT
0002-YK86	38	12	CCW1	WT
0002-YK86	39	13	CCW1	WT
0002-YK86	40	13	CCW1	WT
0002-YK86	41	14	CCW1	WT
0002-YK86	42	15	CCW1	WT
0002-YK86	43	15	CCW1	WT
0002-YK86	44	15	CCW1	WT
0002-YK86	45	15	CCW1	WT
0002-YK86	46	16	CCW1	WT
0002-YK86	47	16	CCW1	WT
0002-YK86	48	16	CCW1	WT
0002-YK86	49	17	CCW1	WT
0002-YK86	50	18	CCW1	WT
0002-YK86	51	19	CCW1	WT
0002-YK86	52	19	CCW1	WT
0002-YK86	53	19	CCW1	WT
0002-YK86	54	20	CCW1	WT
0002-YK86	55	21	CCW1	WT
0002-YK86	56	22	CCW1	WT
0002-YK86	57	22	CCW1	WT
0002-YK86	58	22	CCW1	WT
0002-YK86	59	22	CCW1	WT
0002-YK86	60	22	CCW1	WT
0002-YK86	61	23	CCW1	WT
0002-YK86	62	23	CCW1	WT
0002-YK86	63	23	CCW1	WT
0002-YK86	64	24	CCW1	WT
0002-YK86	65	24	CCW1	WT
0002-YK86	66	24	CCW1	WT
0002-YK86	67	25	CCW1	WT
0002-YK86	68	25	CCW1	WT
0002-YK86	69	25	CCW1	WT
0002-YK86	70	25	CCW1	WT
0002-YK86	71	26	CCW1	WT
0002-YK86	72	26	CCW1	WT
0002-YK86	73	27	CCW1	WT
0002-YK86	1	0	CCW2	WT
0002-YK86	2	0	CCW2	WT
0002-YK86	3	0	CCW2	WT
0002-YK86	4	1	CCW2	WT
0002-YK86	5	2	CCW2	WT
0002-YK86	6	3	CCW2	WT
0002-YK86	7	4	CCW2	WT
0002-YK86	8	4	CCW2	WT
0002-YK86	9	5	CCW2	WT
0002-YK86	10	5	CCW2	WT
0002-YK86	11	6	CCW2	WT
0002-YK86	12	6	CCW2	WT
0002-YK86	13	7	CCW2	WT
0002-YK86	14	8	CCW2	WT
0002-YK86	15	9	CCW2	WT
0002-YK86	16	9	CCW2	WT
0002-YK86	17	9	CCW2	WT
0002-YK86	18	10	CCW2	WT
0002-YK86	19	11	CCW2	WT
0002-YK86	20	11	CCW2	WT
0002-YK86	21	11	CCW2	WT
0002-YK86	22	12	CCW2	WT
0002-YK86	23	12	CCW2	WT
0002-YK86	24	12	CCW2	WT
0002-YK86	25	12	CCW2	WT
0002-YK86	26	12	CCW2	WT
0002-YK86	27	13	CCW2	WT
0002-YK86	28	13	CCW2	WT
0002-YK86	29	14	CCW2	WT
0002-YK86	30	15	CCW2	WT
0002-YK86	31	15	CCW2	WT
0002-YK86	32	15	CCW2	WT
0002-YK86	33	16	CCW2	WT
0002-YK86	34	16	CCW2	WT
0002-YK86	35	17	CCW2	WT
0002-YK86	36	17	CCW2	WT
0002-YK86	37	17	CCW2	WT
0002-YK86	38	17	CCW2	WT
0002-YK86	39	17	CCW2	WT
0002-YK86	40	17	CCW2	WT
0002-YK86	41	18	CCW2	WT
0002-YK86	42	18	CCW2	WT
0002-YK86	43	19	CCW2	WT
0002-YK86	44	20	CCW2	WT
0002-YK86	45	20	CCW2	WT
0002-YK86	46	20	CCW2	WT
0002-YK86	47	20	CCW2	WT
0002-YK86	48	21	CCW2	WT
0002-YK86	49	21	CCW2	WT
0002-YK86	50	21	CCW2	WT
0002-YK86	51	21	CCW2	WT
0002-YK86	52	21	CCW2	WT
0002-YK86	53	21	CCW2	WT
0002-YK86	54	22	CCW2	WT
0002-YK86	55	22	CCW2	WT
0002-YK86	56	23	CCW2	WT
0002-YK86	57	24	CCW2	WT
0002-YK86	58	24	CCW2	WT
0002-YK86	59	24	CCW2	WT
0002-YK86	60	24	CCW2	WT
0002-YK86	61	25	CCW2	WT
0002-YK86	62	25	CCW2	WT
0002-YK86	63	26	CCW2	WT
0002-YK86	1	0	CW1	WT
0002-YK86	2	0	CW1	WT
0002-YK86	3	0	CW1	WT
0002-YK86	4	1	CW1	WT
0002-YK86	5	1	CW1	WT
0002-YK86	6	1	CW1	WT
0002-YK86	7	2	CW1	WT
0002-YK86	8	2	CW1	WT
0002-YK86	9	2	CW1	WT
0002-YK86	10	2	CW1	WT
0002-YK86	11	3	CW1	WT
0002-YK86	12	3	CW1	WT
0002-YK86	13	4	CW1	WT
0002-YK86	14	5	CW1	WT
