ID	Number_DAs	Success_DAs	Challenge	Group
0876-1028	171	60	CCW1	WT
0876-1028	127	50	CCW2	WT
0876-1028	149	56	CW1	WT
0876-1028	148	1	CW2	WT
0876-1028	203	94	ELM1A	WT
0876-1028	200	109	ELM1R	WT
0876-1028	193	93	ELM2A	WT
0876-1028	174	1	ELM2R	WT
0876-1028	125	49	MRL	WT
0876-1028	112	51	PL	WT
0876-1028	136	1	RL	WT
0876-1072	0	0	CCW1	WT
0876-1072	0	0	CCW2	WT
0876-1072	0	0	CW1	WT
0876-1072	0	0	CW2	WT
0876-1072	277	1	ELM1A	WT
0876-1072	177	1	ELM1R	WT
0876-1072	205	1	ELM2A	WT
0876-1072	164	1	ELM2R	WT
0876-1072	99	43	MRL	WT
0876-1072	111	1	PL	WT
0876-1072	101	54	RL	WT
0876-1073	160	54	CCW1	WT
0876-1073	168	1	CCW2	WT
0876-1073	171	67	CW1	WT
0876-1073	147	59	CW2	WT
0876-1073	148	1	ELM1A	WT
0876-1073	120	77	ELM1R	WT
0876-1073	174	1	ELM2A	WT
0876-1073	147	74	ELM2R	WT
0876-1073	133	61	MRL	WT
0876-1073	136	63	PL	WT
0876-1073	150	69	RL	WT
0876-1075	150	66	CCW1	WT
0876-1075	99	1	CCW2	WT
0876-1075	233	72	CW1	WT
0876-1075	200	1	CW2	WT
0876-1075	148	71	ELM1A	WT
0876-1075	146	1	ELM1R	WT
0876-1075	180	77	ELM2A	WT
0876-1075	135	1	ELM2R	WT
0876-1075	106	1	MRL	WT
0876-1075	108	1	PL	WT
0876-1075	100	49	RL	WT
0876-1076	153	59	CCW1	WT
0876-1076	153	64	CCW2	WT
0876-1076	188	72	CW1	WT
0876-1076	154	60	CW2	WT
0876-1076	203	1	ELM1A	WT
0876-1076	158	93	ELM1R	WT
0876-1076	208	1	ELM2A	WT
0876-1076	167	97	ELM2R	WT
0876-1076	150	62	MRL	WT
0876-1076	157	72	PL	WT
0876-1076	129	58	RL	WT
0876-1084	149	54	CCW1	WT
0876-1084	151	62	CCW2	WT
0876-1084	221	69	CW1	WT
0876-1084	198	59	CW2	WT
0876-1084	157	1	ELM1A	WT
0876-1084	207	117	ELM1R	WT
0876-1084	204	135	ELM2A	WT
0876-1084	178	122	ELM2R	WT
0876-1084	139	54	MRL	WT
0876-1084	153	54	PL	WT
0876-1084	150	60	RL	WT
0876-1052	182	52	CCW1	WT
0876-1052	146	43	CCW2	WT
0876-1052	160	56	CW1	WT
0876-1052	126	1	CW2	WT
0876-1052	160	76	ELM1A	WT
0876-1052	143	96	ELM1R	WT
0876-1052	215	114	ELM2A	WT
0876-1052	222	102	ELM2R	WT
0876-1052	126	49	MRL	WT
0876-1052	130	1	PL	WT
0876-1052	153	50	RL	WT
0876-1061	177	65	CCW1	WT
0876-1061	172	52	CCW2	WT
0876-1061	226	80	CW1	WT
0876-1061	148	54	CW2	WT
0876-1061	249	114	ELM1A	WT
0876-1061	177	111	ELM1R	WT
0876-1061	205	99	ELM2A	WT
0876-1061	221	93	ELM2R	WT
0876-1061	160	49	MRL	WT
0876-1061	161	62	PL	WT
0876-1061	153	1	RL	WT
