ID	Number_DAs	Success_DAs	Challenge	Group
0002-YK86	73	1	CCW1	WT
0002-YK86	63	26	CCW2	WT
0002-YK86	95	34	CW1	WT
0002-YK86	104	30	CW2	WT
0002-YK86	94	43	ELM1A	WT
0002-YK86	114	63	ELM1R	WT
0002-YK86	131	1	ELM2A	WT
0002-YK86	144	73	ELM2R	WT
0002-YK86	87	36	MRL	WT
0002-YK86	98	1	PL	WT
0002-YK86	100	50	RL	WT
0002-YK87	63	19	CCW1	WT
0002-YK87	79	20	CCW2	WT
0002-YK87	81	24	CW1	WT
0002-YK87	77	24	CW2	WT
0002-YK87	127	38	ELM1A	WT
0002-YK87	100	63	ELM1R	WT
0002-YK87	109	1	ELM2A	WT
0002-YK87	112	1	ELM2R	WT
0002-YK87	71	35	MRL	WT
0002-YK87	82	1	PL	WT
0002-YK87	89	42	RL	WT
0002-YK88	92	35	CCW1	WT
0002-YK88	91	36	CCW2	WT
0002-YK88	135	46	CW1	WT
0002-YK88	107	1	CW2	WT
0002-YK88	175	1	ELM1A	WT
0002-YK88	152	87	ELM1R	WT
0002-YK88	133	1	ELM2A	WT
0002-YK88	160	75	ELM2R	WT
0002-YK88	90	37	MRL	WT
0002-YK88	138	1	PL	WT
0002-YK88	117	54	RL	WT
0002-YK89	58	22	CCW1	WT
0002-YK89	70	1	CCW2	WT
0002-YK89	87	26	CW1	WT
0002-YK89	67	23	CW2	WT
0002-YK89	106	1	ELM1A	WT
0002-YK89	119	1	ELM1R	WT
0002-YK89	120	52	ELM2A	WT
0002-YK89	116	56	ELM2R	WT
0002-YK89	51	1	MRL	WT
0002-YK89	92	46	PL	WT
0002-YK89	93	38	RL	WT
0002-YK96	82	28	CCW1	WT
0002-YK96	95	31	CCW2	WT
0002-YK96	121	40	CW1	WT
0002-YK96	105	40	CW2	WT
0002-YK96	113	64	ELM1A	WT
0002-YK96	108	79	ELM1R	WT
0002-YK96	149	1	ELM2A	WT
0002-YK96	153	64	ELM2R	WT
0002-YK96	83	41	MRL	WT
0002-YK96	101	1	PL	WT
0002-YK96	101	53	RL	WT
0002-YK98	78	22	CCW1	WT
0002-YK98	96	33	CCW2	WT
0002-YK98	109	27	CW1	WT
0002-YK98	113	34	CW2	WT
0002-YK98	124	64	ELM1A	WT
0002-YK98	113	66	ELM1R	WT
0002-YK98	115	1	ELM2A	WT
0002-YK98	107	51	ELM2R	WT
0002-YK98	56	27	MRL	WT
0002-YK98	54	22	PL	WT
0002-YK98	52	20	RL	WT
0002-YK99	99	32	CCW1	WT
0002-YK99	54	17	CCW2	WT
0002-YK99	80	26	CW1	WT
0002-YK99	116	39	CW2	WT
0002-YK99	99	1	ELM1A	WT
0002-YK99	100	68	ELM1R	WT
0002-YK99	145	1	ELM2A	WT
0002-YK99	139	67	ELM2R	WT
0002-YK99	76	27	MRL	WT
0002-YK99	89	45	PL	WT
0002-YK99	76	1	RL	WT
0002-YL00	87	22	CCW1	WT
0002-YL00	86	1	CCW2	WT
0002-YL00	122	40	CW1	WT
0002-YL00	69	1	CW2	WT
0002-YL00	120	1	ELM1A	WT
0002-YL00	124	1	ELM1R	WT
0002-YL00	121	1	ELM2A	WT
0002-YL00	97	1	ELM2R	WT
0002-YL00	86	43	MRL	WT
0002-YL00	108	1	PL	WT
0002-YL00	87	47	RL	WT
0002-YL22	67	20	CCW1	WT
0002-YL22	60	21	CCW2	WT
0002-YL22	90	30	CW1	WT
0002-YL22	66	18	CW2	WT
0002-YL22	141	62	ELM1A	WT
0002-YL22	93	1	ELM1R	WT
0002-YL22	121	1	ELM2A	WT
0002-YL22	131	1	ELM2R	WT
0002-YL22	72	25	MRL	WT
0002-YL22	97	40	PL	WT
0002-YL22	81	41	RL	WT
0002-YL23	77	1	CCW1	WT
0002-YL23	72	24	CCW2	WT
0002-YL23	76	29	CW1	WT
0002-YL23	85	1	CW2	WT
0002-YL23	82	1	ELM1A	WT
0002-YL23	120	1	ELM1R	WT
0002-YL23	111	1	ELM2A	WT
0002-YL23	77	1	ELM2R	WT
0002-YL23	47	20	MRL	WT
0002-YL23	94	45	PL	WT
0002-YL23	74	41	RL	WT
0002-YL24	73	25	CCW1	WT
0002-YL24	85	1	CCW2	WT
0002-YL24	88	33	CW1	WT
0002-YL24	102	29	CW2	WT
0002-YL24	118	51	ELM1A	WT
0002-YL24	177	1	ELM1R	WT
0002-YL24	159	1	ELM2A	WT
0002-YL24	115	60	ELM2R	WT
0002-YL24	75	34	MRL	WT
0002-YL24	122	47	PL	WT
0002-YL24	100	1	RL	WT
0002-YL73	71	27	CCW1	WT
0002-YL73	91	1	CCW2	WT
0002-YL73	83	31	CW1	WT
0002-YL73	75	30	CW2	WT
0002-YL73	86	36	ELM1A	WT
0002-YL73	109	59	ELM1R	WT
0002-YL73	117	63	ELM2A	WT
0002-YL73	110	1	ELM2R	WT
0002-YL73	57	23	MRL	WT
0002-YL73	69	36	PL	WT
0002-YL73	76	1	RL	WT
0002-YL74	66	21	CCW1	WT
0002-YL74	54	18	CCW2	WT
0002-YL74	91	20	CW1	WT
0002-YL74	81	25	CW2	WT
0002-YL74	95	49	ELM1A	WT
0002-YL74	89	58	ELM1R	WT
0002-YL74	117	1	ELM2A	WT
0002-YL74	118	1	ELM2R	WT
0002-YL74	86	38	MRL	WT
0002-YL74	87	46	PL	WT
0002-YL74	68	30	RL	WT
0002-YL75	94	25	CCW1	WT
0002-YL75	77	27	CCW2	WT
0002-YL75	118	38	CW1	WT
0002-YL75	80	36	CW2	WT
0002-YL75	138	1	ELM1A	WT
