ID	Number_DAs	Success_DAs	Challenge	Group
1045-1109	165	1	CCW1	Corn_Oil
1045-1109	116	58	CCW2	Corn_Oil
1045-1109	101	60	CW1	Corn_Oil
1045-1109	99	59	CW2	Corn_Oil
1045-1109	121	1	ELM1A	Corn_Oil
1045-1109	117	78	ELM1R	Corn_Oil
1045-1109	101	1	ELM2A	Corn_Oil
1045-1109	98	67	ELM2R	Corn_Oil
1045-1109	127	58	MRL	Corn_Oil
1045-1109	178	69	PL	Corn_Oil
1045-1109	133	34	RL	Corn_Oil
1045-1110	101	33	CCW1	Corn_Oil
1045-1110	110	36	CCW2	Corn_Oil
1045-1110	68	33	CW1	Corn_Oil
1045-1110	117	35	CW2	Corn_Oil
1045-1110	173	93	ELM1A	Corn_Oil
1045-1110	173	91	ELM1R	Corn_Oil
1045-1110	109	1	ELM2A	Corn_Oil
1045-1110	106	59	ELM2R	Corn_Oil
1045-1110	157	1	MRL	Corn_Oil
1045-1110	106	1	PL	Corn_Oil
1045-1110	209	93	RL	Corn_Oil
1045-1115	122	1	CCW1	Corn_Oil
1045-1115	112	46	CCW2	Corn_Oil
1045-1115	154	45	CW1	Corn_Oil
1045-1115	136	49	CW2	Corn_Oil
1045-1115	131	60	ELM1A	Corn_Oil
1045-1115	196	1	ELM1R	Corn_Oil
1045-1115	228	1	ELM2A	Corn_Oil
1045-1115	162	1	ELM2R	Corn_Oil
1045-1115	145	71	MRL	Corn_Oil
1045-1115	198	85	PL	Corn_Oil
1045-1115	206	63	RL	Corn_Oil
1045-1116	97	1	CCW1	Corn_Oil
1045-1116	65	25	CCW2	Corn_Oil
1045-1116	89	30	CW1	Corn_Oil
1045-1116	67	1	CW2	Corn_Oil
1045-1116	95	62	ELM1A	Corn_Oil
1045-1116	105	1	ELM1R	Corn_Oil
1045-1116	86	58	ELM2A	Corn_Oil
1045-1116	113	71	ELM2R	Corn_Oil
1045-1116	180	1	MRL	Corn_Oil
1045-1116	134	49	PL	Corn_Oil
1045-1116	167	70	RL	Corn_Oil
1045-1117	72	1	CCW1	Corn_Oil
1045-1117	90	35	CCW2	Corn_Oil
1045-1117	76	34	CW1	Corn_Oil
1045-1117	86	32	CW2	Corn_Oil
1045-1117	149	38	ELM1A	Corn_Oil
1045-1117	172	52	ELM1R	Corn_Oil
1045-1117	200	112	ELM2A	Corn_Oil
1045-1117	137	1	ELM2R	Corn_Oil
1045-1117	97	36	MRL	Corn_Oil
1045-1117	94	1	PL	Corn_Oil
1045-1117	130	81	RL	Corn_Oil
1045-1118	96	30	CCW1	Corn_Oil
1045-1118	97	1	CCW2	Corn_Oil
1045-1118	114	41	CW1	Corn_Oil
1045-1118	101	1	CW2	Corn_Oil
1045-1118	170	52	ELM1A	Corn_Oil
1045-1118	194	118	ELM1R	Corn_Oil
1045-1118	152	1	ELM2A	Corn_Oil
1045-1118	127	71	ELM2R	Corn_Oil
1045-1118	102	37	MRL	Corn_Oil
1045-1118	156	73	PL	Corn_Oil
1045-1118	135	94	RL	Corn_Oil
1045-1125	82	33	CCW1	Corn_Oil
1045-1125	75	28	CCW2	Corn_Oil
1045-1125	109	34	CW1	Corn_Oil
1045-1125	123	39	CW2	Corn_Oil
1045-1125	198	48	ELM1A	Corn_Oil
1045-1125	299	105	ELM1R	Corn_Oil
1045-1125	221	115	ELM2A	Corn_Oil
1045-1125	158	91	ELM2R	Corn_Oil
1045-1125	99	36	MRL	Corn_Oil
1045-1125	106	1	PL	Corn_Oil
1045-1125	145	78	RL	Corn_Oil
1045-1143	91	33	CCW1	Corn_Oil
1045-1143	92	31	CCW2	Corn_Oil
1045-1143	97	43	CW1	Corn_Oil
1045-1143	99	39	CW2	Corn_Oil
1045-1143	179	1	ELM1A	Corn_Oil
1045-1143	230	1	ELM1R	Corn_Oil
1045-1143	164	1	ELM2A	Corn_Oil
1045-1143	140	77	ELM2R	Corn_Oil
1045-1143	167	63	MRL	Corn_Oil
1045-1143	166	80	PL	Corn_Oil
1045-1143	150	92	RL	Corn_Oil
1045-1166	138	45	CCW1	Corn_Oil
1045-1166	163	48	CCW2	Corn_Oil
1045-1166	150	43	CW1	Corn_Oil
1045-1166	155	51	CW2	Corn_Oil
1045-1166	216	1	ELM1A	Corn_Oil
