DateTime	Temperature	Illumination	Cage
2020-03-14 15:34:16	26	254	1
2020-03-14 15:34:16	27	129	2
2020-03-14 15:35:16	26	254	1
2020-03-14 15:35:16	27	124	2
2020-03-14 15:36:16	26	254	1
2020-03-14 15:36:16	27	124	2
2020-03-14 15:37:16	26	254	1
2020-03-14 15:37:16	27	127	2
2020-03-14 15:38:16	26	254	1
2020-03-14 15:38:16	27	122	2
2020-03-14 15:39:16	26	254	1
2020-03-14 15:39:16	27	124	2
2020-03-14 15:40:16	266	254	1
2020-03-14 15:40:16	27	133	2
2020-03-14 15:41:16	266	254	1
2020-03-14 15:41:16	27	129	2
2020-03-14 15:42:16	266	254	1
2020-03-14 15:42:16	27	129	2
2020-03-14 15:43:16	266	254	1
2020-03-14 15:43:16	27	129	2
2020-03-14 15:44:16	266	254	1
2020-03-14 15:44:16	27	129	2
2020-03-14 15:45:16	266	254	1
2020-03-14 15:45:16	27	129	2
2020-03-14 15:46:16	266	254	1
2020-03-14 15:46:16	27	129	2
2020-03-14 15:47:16	26	254	1
2020-03-14 15:47:16	27	131	2
2020-03-14 15:48:16	266	254	1
2020-03-14 15:48:16	27	133	2
2020-03-14 15:49:16	266	254	1
2020-03-14 15:49:16	27	133	2
2020-03-14 15:50:16	266	254	1
2020-03-14 15:50:16	27	129	2
2020-03-14 15:51:16	266	254	1
2020-03-14 15:51:16	27	133	2
2020-03-14 15:52:16	266	254	1
2020-03-14 15:52:16	27	133	2
2020-03-14 15:53:16	266	254	1
2020-03-14 15:53:16	27	131	2
2020-03-14 15:54:16	266	254	1
2020-03-14 15:54:16	27	129	2
2020-03-14 15:55:16	266	254	1
2020-03-14 15:55:16	27	129	2
2020-03-14 15:56:16	266	254	1
2020-03-14 15:56:16	27	131	2
2020-03-14 15:57:16	266	254	1
2020-03-14 15:57:16	27	133	2
2020-03-14 15:58:16	266	254	1
2020-03-14 15:58:16	27	133	2
2020-03-14 15:59:16	266	254	1
2020-03-14 15:59:16	27	129	2
2020-03-14 16:00:16	266	254	1
2020-03-14 16:00:16	27	133	2
2020-03-14 16:01:16	266	254	1
2020-03-14 16:01:16	27	133	2
2020-03-14 16:02:16	266	254	1
2020-03-14 16:02:16	27	129	2
2020-03-14 16:03:16	266	254	1
2020-03-14 16:03:16	27	131	2
2020-03-14 16:04:16	266	254	1
2020-03-14 16:04:16	27	129	2
2020-03-14 16:05:16	266	254	1
2020-03-14 16:05:16	27	133	2
2020-03-14 16:06:16	266	254	1
2020-03-14 16:06:16	27	133	2
2020-03-14 16:07:16	266	254	1
2020-03-14 16:07:16	27	129	2
2020-03-14 16:08:16	266	254	1
2020-03-14 16:08:16	27	131	2
2020-03-14 16:09:16	266	254	1
2020-03-14 16:09:16	27	131	2
2020-03-14 16:10:16	266	254	1
2020-03-14 16:10:16	27	131	2
2020-03-14 16:11:16	266	254	1
2020-03-14 16:11:16	27	129	2
2020-03-14 16:12:16	26	254	1
2020-03-14 16:12:16	27	129	2
2020-03-14 16:13:16	26	254	1
2020-03-14 16:13:16	27	131	2
2020-03-14 16:14:16	266	254	1
2020-03-14 16:14:16	266	129	2
2020-03-14 16:15:16	266	254	1
2020-03-14 16:15:16	27	129	2
2020-03-14 16:16:16	266	254	1
2020-03-14 16:16:16	266	133	2
2020-03-14 16:17:16	27	131	2
2020-03-14 16:17:16	266	254	1
2020-03-14 16:18:16	266	254	1
2020-03-14 16:18:16	27	129	2
2020-03-14 16:19:16	26	254	1
2020-03-14 16:19:16	27	131	2
2020-03-14 16:20:16	266	254	1
2020-03-14 16:20:16	27	131	2
2020-03-14 16:21:16	26	254	1
2020-03-14 16:21:16	266	129	2
2020-03-14 16:22:16	266	254	1
2020-03-14 16:22:16	27	129	2
2020-03-14 16:23:16	266	254	1
2020-03-14 16:23:16	27	131	2
2020-03-14 16:24:16	26	254	1
2020-03-14 16:24:16	266	129	2
2020-03-14 16:25:16	266	254	1
2020-03-14 16:25:16	27	131	2
2020-03-14 16:26:16	266	254	1
2020-03-14 16:26:16	27	129	2
2020-03-14 16:27:16	266	254	1
2020-03-14 16:27:16	27	133	2
2020-03-14 16:28:16	26	254	1
2020-03-14 16:28:16	266	131	2
2020-03-14 16:29:16	266	254	1
2020-03-14 16:29:16	266	133	2
2020-03-14 16:30:16	266	254	1
2020-03-14 16:30:16	27	131	2
2020-03-14 16:31:16	266	254	1
2020-03-14 16:31:16	266	133	2
2020-03-14 16:32:16	266	254	1
2020-03-14 16:32:16	27	131	2
2020-03-14 16:33:16	26	254	1
2020-03-14 16:33:16	27	129	2
2020-03-14 16:34:16	26	254	1
2020-03-14 16:34:16	266	131	2
2020-03-14 16:35:16	26	254	1
2020-03-14 16:35:16	27	131	2
2020-03-14 16:36:16	266	254	1
2020-03-14 16:36:16	266	131	2
2020-03-14 16:37:16	26	254	1
2020-03-14 16:37:16	266	129	2
2020-03-14 16:38:16	26	254	1
