DateTime	Type	Cage	Corner	Side	State
2020-03-15 15:39:00.662	Air	1	1		0
2020-03-15 15:39:00.666	Air	2	1		0
2020-03-15 15:39:00.666	Air	2	2		0
2020-03-15 15:39:00.666	Air	1	2		0
2020-03-15 15:39:00.666	Air	1	3		0
2020-03-15 15:39:00.666	Air	2	3		0
2020-03-15 15:39:00.708	Air	2	4		0
2020-03-15 15:39:00.708	Air	1	4		0
2020-03-15 15:39:00.710	Door	2	1	1	1
2020-03-15 15:39:00.710	Door	1	1	1	1
2020-03-15 15:39:00.713	Led	2	1	1	0
2020-03-15 15:39:00.714	Led	1	1	1	0
2020-03-15 15:39:00.742	Door	2	1	2	1
2020-03-15 15:39:00.742	Door	1	1	2	1
2020-03-15 15:39:00.743	Led	2	1	2	0
2020-03-15 15:39:00.759	Led	1	1	2	0
2020-03-15 15:39:00.775	Door	1	2	3	1
2020-03-15 15:39:00.775	Door	2	2	3	1
2020-03-15 15:39:00.787	Led	1	2	3	0
2020-03-15 15:39:00.787	Led	2	2	3	0
2020-03-15 15:39:00.804	Door	1	2	4	1
2020-03-15 15:39:00.808	Door	2	2	4	1
2020-03-15 15:39:00.824	Led	1	2	4	0
2020-03-15 15:39:00.824	Led	2	2	4	0
2020-03-15 15:39:00.838	Door	1	3	5	1
2020-03-15 15:39:00.845	Door	2	3	5	1
2020-03-15 15:39:00.853	Led	1	3	5	0
2020-03-15 15:39:00.858	Led	2	3	5	0
2020-03-15 15:39:00.875	Door	2	3	6	1
2020-03-15 15:39:00.880	Door	1	3	6	1
2020-03-15 15:39:00.893	Led	1	3	6	0
2020-03-15 15:39:00.900	Led	2	3	6	0
2020-03-15 15:39:00.911	Door	2	4	7	1
2020-03-15 15:39:00.916	Door	1	4	7	1
2020-03-15 15:39:00.924	Led	2	4	7	0
2020-03-15 15:39:00.929	Led	1	4	7	0
2020-03-15 15:39:00.946	Door	1	4	8	1
2020-03-15 15:39:00.952	Door	2	4	8	1
2020-03-15 15:39:00.959	Led	1	4	8	0
2020-03-15 15:39:00.965	Led	2	4	8	0
2020-03-15 15:39:05.620	Door	1	1	1	1
2020-03-15 15:39:05.639	Door	1	1	2	1
2020-03-15 15:39:05.661	Door	1	2	3	1
2020-03-15 15:39:05.680	Door	1	2	4	1
2020-03-15 15:39:05.701	Door	1	3	5	1
2020-03-15 15:39:05.721	Door	1	3	6	1
2020-03-15 15:39:05.740	Door	1	4	7	1
2020-03-15 15:39:05.758	Door	1	4	8	1
2020-03-15 15:39:07.213	Door	1	3	5	0
2020-03-15 15:39:07.423	Door	1	4	7	0
2020-03-15 15:39:07.427	Door	1	4	8	0
2020-03-15 15:39:08.056	Door	1	2	3	0
2020-03-15 15:39:08.060	Door	1	2	4	0
2020-03-15 15:39:08.065	Door	1	3	6	0
2020-03-15 15:39:08.073	Door	1	1	1	0
2020-03-15 15:39:08.077	Door	1	1	2	0
2020-03-15 15:39:09.104	Door	2	1	1	1
2020-03-15 15:39:09.125	Door	2	1	2	1
2020-03-15 15:39:09.145	Door	2	2	3	1
2020-03-15 15:39:09.166	Door	2	2	4	1
2020-03-15 15:39:09.186	Door	2	3	5	1
2020-03-15 15:39:09.208	Door	2	3	6	1
2020-03-15 15:39:09.228	Door	2	4	7	1
2020-03-15 15:39:09.248	Door	2	4	8	1
2020-03-15 15:39:11.464	Door	2	1	1	0
2020-03-15 15:39:11.471	Door	2	1	2	0
2020-03-15 15:39:11.502	Door	2	2	3	0
2020-03-15 15:39:11.506	Door	2	2	4	0
2020-03-15 15:39:11.594	Door	2	4	7	0
2020-03-15 15:39:11.599	Door	2	4	8	0
2020-03-15 15:39:11.648	Door	2	3	5	0
2020-03-15 15:39:11.653	Door	2	3	6	0
2020-03-15 16:20:06.917	Door	1	3	5	0
2020-03-15 16:20:06.933	Door	1	3	6	0
2020-03-15 16:30:10.794	Door	2	3	5	0
2020-03-15 16:30:10.811	Door	2	3	6	0
2020-03-15 16:30:21.086	Door	2	4	7	0
2020-03-15 16:30:21.103	Door	2	4	8	0
2020-03-15 16:30:53.767	Door	2	1	1	0
2020-03-15 16:30:55.190	Door	2	1	1	1
2020-03-15 16:31:05.643	Door	2	1	1	1
2020-03-15 16:31:06.410	Door	2	1	1	1
2020-03-15 16:31:14.627	Door	2	1	2	0
2020-03-15 16:31:16.050	Door	2	1	2	1
2020-03-15 16:31:25.865	Door	2	1	2	1
2020-03-15 16:31:26.390	Door	2	1	2	1
2020-03-15 16:31:28.106	Door	2	1	2	1
2020-03-15 16:31:31.238	Door	2	1	1	1
2020-03-15 16:31:31.238	Door	2	1	2	1
2020-03-15 16:31:33.508	Door	2	1	1	0
2020-03-15 16:31:33.512	Door	2	1	2	0
2020-03-15 16:31:50.699	Door	2	2	3	0
2020-03-15 16:31:50.715	Door	2	2	4	0
2020-03-15 16:32:46.846	Door	2	1	2	0
2020-03-15 16:32:46.974	Door	2	1	2	0
2020-03-15 16:32:47.609	Door	2	1	2	1
2020-03-15 16:32:59.080	Door	2	1	1	0
2020-03-15 16:32:59.367	Door	2	1	1	1
2020-03-15 16:33:05.047	Door	2	1	1	1
2020-03-15 16:33:05.047	Door	2	1	2	1
2020-03-15 16:33:07.350	Door	2	1	1	0
2020-03-15 16:33:07.355	Door	2	1	2	0
2020-03-15 16:36:35.957	Door	2	4	7	0
2020-03-15 16:36:35.973	Door	2	4	8	0
2020-03-15 16:37:00.721	Door	2	1	1	0
2020-03-15 16:37:02.143	Door	2	1	1	1
2020-03-15 16:37:08.616	Door	2	1	1	1
2020-03-15 16:37:08.616	Door	2	1	2	0
2020-03-15 16:37:10.915	Door	2	1	1	0
2020-03-15 16:38:24.886	Door	2	3	6	0
2020-03-15 16:38:26.314	Door	2	3	6	1
2020-03-15 16:38:40.446	Door	2	3	5	0
2020-03-15 16:38:40.747	Door	2	3	5	1
2020-03-15 16:38:49.368	Door	2	3	5	1
2020-03-15 16:38:49.368	Door	2	3	6	1
2020-03-15 16:38:51.669	Door	2	3	5	0
2020-03-15 16:38:51.674	Door	2	3	6	0
2020-03-15 16:38:52.733	Door	2	1	1	0
2020-03-15 16:38:52.750	Door	2	1	2	0
2020-03-15 16:39:23.691	Door	2	4	7	0
2020-03-15 16:39:23.705	Door	2	4	8	0
2020-03-15 16:40:49.754	Door	2	4	7	0
2020-03-15 16:40:49.771	Door	2	4	8	0
2020-03-15 16:41:10.187	Door	2	2	3	0
2020-03-15 16:41:10.187	Door	2	2	4	0
2020-03-15 16:41:11.310	Door	2	1	1	0
2020-03-15 16:41:11.327	Door	2	1	2	0
2020-03-15 16:41:38.346	Door	2	4	7	0
2020-03-15 16:41:38.363	Door	2	4	8	0
2020-03-15 16:41:48.708	Door	2	3	5	0
2020-03-15 16:41:50.135	Door	2	3	5	1
2020-03-15 16:41:53.272	Door	2	3	5	1
2020-03-15 16:41:54.568	Door	2	3	5	1
2020-03-15 16:41:54.667	Door	2	3	5	1
2020-03-15 16:42:13.209	Door	2	3	5	1
2020-03-15 16:42:13.872	Door	2	3	5	1
2020-03-15 16:42:13.872	Door	2	3	6	0
2020-03-15 16:42:16.137	Door	2	3	5	0
2020-03-15 16:42:57.526	Door	2	1	1	0
