Animal	Tag	Sex	Weight	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
291	900200000469486	Unknown	0	Default		2020-03-15 17:06:04.280	2020-03-16 15:36:04.222	2	292	2916.694	440	565.717	2547	335.8752115	133.298	74.0	216	71.1	313	0.0	0	0.0	0
301	900200000276290	Unknown	0	Default		2020-03-15 17:10:03.555	2020-03-16 15:24:45.715	2	290	2208.212	367	491.826	2236	285.9383542	100.305	72.8	211	47.7	175	0.0	0	0.0	0
331	900200000098819	Unknown	0	Default		2020-03-15 17:02:50.225	2020-03-16 11:48:03.714	3	216	3000.977	442	633.988	2669	349.6039963	142.609	75.5	163	67.0	296	0.0	0	0.0	0
340	900200000470750	Unknown	0	Default		2020-03-15 17:14:01.111	2020-03-16 15:32:29.511	3	414	2330.417	345	432.92	1817	261.9889852	116.916	82.1	340	69.6	240	0.0	0	0.0	0
353	900200000068971	Unknown	0	Default		2020-03-15 15:49:18.965	2020-03-16 15:16:21.280	4	306	2624.025	562	498.672	2094	276.8018312	89.766	69.6	213	57.1	321	0.0	0	0.0	0
356	900200000278773	Unknown	0	Default		2020-03-15 17:30:15.517	2020-03-16 15:38:36.957	2	357	3143.042	629	546.074	2217	297.9900428	114.011	74.5	266	64.1	403	0.0	0	0.0	0
357	900200000471745	Unknown	0	Default		2020-03-15 17:06:54.998	2020-03-16 15:29:38.490	1	271	3136.92	420	565.417	1916	347.8718966	207.941	70.1	190	56.0	235	0.0	0	0.0	0
358	900200000275890	Unknown	0	Default		2020-03-15 17:02:29.027	2020-03-16 15:27:14.004	2	233	2406.063	308	478.865	2156	320.2793189	147.642	72.5	169	48.4	149	0.0	0	0.0	0
368	900200000472610	Unknown	0	Default		2020-03-15 17:19:10.739	2020-03-16 15:33:22.514	1	298	3102.636	436	549.906	2428	346.2218025	140.591	63.8	190	67.7	295	0.0	0	0.0	0
374	900200000404262	Unknown	0	Default		2020-03-15 17:09:09.274	2020-03-16 15:37:42.504	3	290	2529.93	631	448.367	1955	244.8110025	95.486	69.7	202	58.5	369	0.0	0	0.0	0
387	900200000471017	Unknown	0	Default		2020-03-15 16:50:43.585	2020-03-16 15:37:32.826	3	259	2165.861	706	489.339	1966	276.04379	109.804	66.0	171	65.2	460	0.0	0	0.0	0
390	900200000100627	Unknown	0	Default		2020-03-15 17:30:40.151	2020-03-16 15:29:48.513	2	375	2853.737	410	518.219	2718	350.3760402	117.737	75.7	284	62.0	254	0.0	0	0.0	0
403	900200000469608	Unknown	0	Default		2020-03-15 16:52:35.236	2020-03-16 15:31:33.418	4	282	2260.471	447	550.752	2064	370.2481768	207.106	64.9	183	55.9	250	0.0	0	0.0	0
437	900200000274738	Unknown	0	Default		2020-03-15 17:26:47.033	2020-03-16 15:31:07.064	3	377	3584.495	709	600.802	2300	290.7766313	115.057	70.0	264	63.2	448	0.0	0	0.0	0
438	900200000067270	Unknown	0	Default		2020-03-15 17:11:24.127	2020-03-16 15:34:59.388	3	353	4070.463	737	698.326	2076	352.98319	172.585	68.6	242	57.4	423	0.0	0	0.0	0
452	900200000469796	Unknown	0	Default		2020-03-15 16:49:09.260	2020-03-16 15:31:01.165	3	285	2891.331	453	562.695	2652	370.1721729	140.933	74.0	211	64.5	292	0.0	0	0.0	0
312	900200000470680	Unknown	0	Default		2020-03-15 17:30:34.389	2020-03-16 13:39:03.536	2	165	2256.715	348	601.225	2651	365.1898872	135.79	66.7	110	63.2	220	0.0	0	0.0	0
315	900200000276779	Unknown	0	Default		2020-03-15 16:25:13.614	2020-03-16 13:37:58.998	1	183	3612.303	791	923.621999999999	2494	309.9487285	110.703	56.3	103	58.3	461	0.0	0	0.0	0
316	900200000069309	Unknown	0	Default		2020-03-15 17:23:50.521	2020-03-16 15:36:28.670	3	129	1922.627	345	512.311	2219	281.2830886	105.576	65.9	85	49.0	169	0.0	0	0.0	0
317	900200000101196	Unknown	0	Default		2020-03-15 15:48:18.886	2020-03-16 12:56:02.966	1	155	2307.295	288	549.547	2149	289.5245603	98.879	74.8	116	66.0	190	0.0	0	0.0	0
330	900200000402641	Unknown	0	Default		2020-03-15 17:17:10.145	2020-03-16 15:36:04.918	3	190	2751.123	285	502.938	2639	320.4873304	120.793	65.8	125	58.6	167	0.0	0	0.0	0
379	900200000471581	Unknown	0	Default		2020-03-15 17:18:49.931	2020-03-16 13:39:22.168	1	143	2022.138	320	517.877	2440	328.8558092	123.972	72.7	104	69.7	223	0.0	0	0.0	0
385	900200000471102	Unknown	0	Default		2020-03-15 17:31:00.669	2020-03-16 15:26:36.603	4	147	2064.573	409	546.038	2019	265.8062032	91.955	71.4	105	57.2	234	0.0	0	0.0	0
388	900200000065014	Unknown	0	Default		2020-03-15 17:29:16.269	2020-03-16 15:34:21.909	4	167	1747.907	319	502.388	1920	314.7750043	165.885	53.3	89	53.3	170	0.0	0	0.0	0
389	900200000064617	Unknown	0	Default		2020-03-15 16:02:22.611	2020-03-16 13:56:50.393	3	267	2886.972	603	708.397	2818	377.7156033	146.326	77.5	207	75.3	454	0.0	0	0.0	0
393	900200000404061	Unknown	0	Default		2020-03-15 17:14:40.221	2020-03-16 15:34:00.686	3	155	1843.989	356	477.464	2139	289.0465329	117.471	69.7	108	61.0	217	0.0	0	0.0	0
402	900200000471269	Unknown	0	Default		2020-03-15 15:42:56.016	2020-03-16 15:35:59.939	2	138	3095.804	502	720.387	2898	376.6425428	126.738	63.0	87	45.6	229	0.0	0	0.0	0
405	900200000473213	Unknown	0	Default		2020-03-15 16:47:17.899	2020-03-16 13:17:25.986	3	150	2986.934	496	733.493	3063	395.4396176	138.639	63.3	95	50.4	250	0.0	0	0.0	0
413	900200000469983	Unknown	0	Default		2020-03-15 17:23:32.983	2020-03-16 15:34:46.668	2	135	2155.797	403	598.074	2684	341.0365064	124.236	68.9	93	69.0	278	0.0	0	0.0	0
414	900200000472620	Unknown	0	Default		2020-03-15 17:14:36.730	2020-03-16 15:22:02.538	4	191	2772.052	636	666.956	2597	354.732289	157.491	64.9	124	63.7	405	0.0	0	0.0	0
426	900200000471039	Unknown	0	Default		2020-03-15 15:42:33.688	2020-03-16 13:54:05.547	3	208	2681.328	537	602.781	2132	281.819119	117.81	64.9	135	57.9	311	0.0	0	0.0	0
427	900200000471771	Unknown	0	Default		2020-03-15 16:36:15.372	2020-03-16 13:10:43.647	3	159	2592.956	458	645.192	2700	409.345413	187.079	69.2	110	65.5	300	0.0	0	0.0	0
Animal 33	900200000196653	Unknown	0	Default					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
