Animal	Tag	Sex	Weight	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
310	900200000470221	Unknown	0	Default		2020-03-16 17:04:14.684	2020-03-17 14:41:45.188	1	168	2652.724	448	968.882	3732	539.9869143	215.792000995949	39.3	66	34.8	156	0.0	0	0.0	0
311	900200000277994	Unknown	0	Default		2020-03-16 16:42:51.412	2020-03-17 13:43:35.168	2	211	2640.001	398	790.145	4112	529.9472668	200.854999672621	43.1	91	24.6	98	0.0	0	0.0	0
318	900200000472239	Unknown	0	Default		2020-03-16 16:56:09.490	2020-03-17 15:55:54.859	2	236	2510.566	557	801.931	3568	489.8408202	192.029998574406	41.9	99	43.4	242	0.0	0	0.0	0
351	900200000100961	Unknown	0	Default		2020-03-16 16:38:40.661	2020-03-17 15:51:31.266	2	250	2748.97	555	837.195	2942	399.5898203	162.704999735579	43.2	108	29.2	162	0.0	0	0.0	0
372	900200000102097	Unknown	0	Default		2020-03-16 16:00:44.127	2020-03-17 15:54:47.721	1	345	3081.082	759	846.286000000001	2930	415.3820622	169.769999139011	50.1	173	51.9	394	0.0	0	0.0	0
376	900200000470237	Unknown	0	Default		2020-03-16 16:49:49.251	2020-03-17 15:44:33.188	4	257	2716.424	652	1193.767	6503	825.569240800001	296.136998981237	36.2	93	22.1	144	0.0	0	0.0	0
377	900200000473319	Unknown	0	Default		2020-03-16 16:01:05.371	2020-03-17 15:52:12.906	1	238	2672.183	363	697.043	3377	444.3457035	170.95600008592	50.8	121	54.3	197	0.0	0	0.0	0
391	900200000098708	Unknown	0	Default		2020-03-16 17:00:41.850	2020-03-17 15:45:57.189	2	314	3397.035	816	1110.459	5372	692.9834697	250.354000004008	35.7	112	26.3	215	0.0	0	0.0	0
392	900200000279265	Unknown	0	Default		2020-03-16 17:17:35.126	2020-03-17 15:26:41.611	1	235	2712.831	613	900.104	3500	492.0967265	184.64499938488	49.8	117	46.7	286	0.0	0	0.0	0
395	900200000470661	Unknown	0	Default		2020-03-16 17:11:08.547	2020-03-17 14:35:59.821	3	286	3011.279	612	999.276	5554	702.7678365	247.727999698371	44.1	126	34.0	208	0.0	0	0.0	0
396	900200000471760	Unknown	0	Default		2020-03-16 17:00:49.447	2020-03-17 15:42:30.682	2	296	2519.251	666	1038.856	3668	493.6279297	163.747000163421	49.7	147	50.6	337	0.0	0	0.0	0
404	900200000402822	Unknown	0	Default		2020-03-16 16:25:19.408	2020-03-17 15:54:16.356	4	220	2151.261	367	787.261	4042	548.0937986	192.287000343204	37.3	82	25.1	92	0.0	0	0.0	0
423	900200000473251	Unknown	0	Default		2020-03-16 16:35:31.324	2020-03-17 13:08:06.678	1	211	3276.194	639	1239.751	6509	830.849399	286.05299953185	43.6	92	41.2	263	0.0	0	0.0	0
436	900200000471512	Unknown	0	Default		2020-03-16 17:05:40.877	2020-03-17 15:53:37.151	2	286	2987.359	574	943.095	4436	552.4628901	231.525999776088	45.1	129	31.4	180	0.0	0	0.0	0
447	900200000471281	Unknown	0	Default		2020-03-16 17:05:59.152	2020-03-17 14:39:28.404	2	231	2396.31	498	1039.043	4957	663.3169597	213.658000251278	49.4	114	49.8	248	0.0	0	0.0	0
463	900200000274959	Unknown	0	Default		2020-03-16 16:56:27.409	2020-03-17 15:44:40.448	2	301	2882.51	536	880.188	3437	541.7519531	255.196997964755	43.5	131	32.5	174	0.0	0	0.0	0
290	900200000274781	Unknown	0	Default		2020-03-16 16:10:18.012	2020-03-17 15:22:28.585	1	178	5006.191	580	1224.502	4792	629.620117	231.315998397535	38.8	69	31.2	181	0.0	0	0.0	0
