DateTime	Type	Cage	Corner	Side	State
2020-03-16 15:56:28.484	Door	2	1	1	1
2020-03-16 15:56:28.488	Door	2	1	2	1
2020-03-16 15:56:28.489	Door	1	1	1	1
2020-03-16 15:56:28.489	Door	1	1	2	1
2020-03-16 15:56:28.606	Air	2	1		0
2020-03-16 15:56:28.620	Air	1	1		0
2020-03-16 15:56:28.626	Air	2	2		0
2020-03-16 15:56:28.640	Air	1	2		0
2020-03-16 15:56:28.650	Air	2	3		0
2020-03-16 15:56:28.662	Air	1	3		0
2020-03-16 15:56:28.672	Air	2	4		0
2020-03-16 15:56:28.684	Air	1	4		0
2020-03-16 15:56:28.703	Door	2	1	1	1
2020-03-16 15:56:28.712	Door	1	1	1	1
2020-03-16 15:56:28.723	Led	2	1	1	0
2020-03-16 15:56:28.727	Led	1	1	1	0
2020-03-16 15:56:28.739	Door	2	1	2	1
2020-03-16 15:56:28.750	Door	1	1	2	1
2020-03-16 15:56:28.755	Led	2	1	2	0
2020-03-16 15:56:28.764	Led	1	1	2	0
2020-03-16 15:56:28.773	Door	2	2	3	1
2020-03-16 15:56:28.790	Door	1	2	3	1
2020-03-16 15:56:28.796	Led	2	2	3	0
2020-03-16 15:56:28.801	Led	1	2	3	0
2020-03-16 15:56:28.809	Door	2	2	4	1
2020-03-16 15:56:28.823	Door	1	2	4	1
2020-03-16 15:56:28.829	Led	2	2	4	0
2020-03-16 15:56:28.836	Led	1	2	4	0
2020-03-16 15:56:28.846	Door	2	3	5	1
2020-03-16 15:56:28.857	Door	1	3	5	1
2020-03-16 15:56:28.862	Led	2	3	5	0
2020-03-16 15:56:28.871	Led	1	3	5	0
2020-03-16 15:56:28.883	Door	2	3	6	1
2020-03-16 15:56:28.891	Door	1	3	6	1
2020-03-16 15:56:28.898	Led	2	3	6	0
2020-03-16 15:56:28.906	Led	1	3	6	0
2020-03-16 15:56:28.920	Door	2	4	7	1
2020-03-16 15:56:28.928	Door	1	4	7	1
2020-03-16 15:56:28.935	Led	2	4	7	0
2020-03-16 15:56:28.943	Led	1	4	7	0
2020-03-16 15:56:28.958	Door	2	4	8	1
2020-03-16 15:56:28.965	Door	1	4	8	1
2020-03-16 15:56:28.972	Led	2	4	8	0
2020-03-16 15:56:28.979	Led	1	4	8	0
2020-03-16 15:56:31.374	Door	1	1	1	1
2020-03-16 15:56:31.395	Door	1	1	2	1
2020-03-16 15:56:31.416	Door	1	2	3	1
2020-03-16 15:56:31.434	Door	1	2	4	1
2020-03-16 15:56:31.455	Door	1	3	5	1
2020-03-16 15:56:31.476	Door	1	3	6	1
2020-03-16 15:56:31.496	Door	1	4	7	1
2020-03-16 15:56:31.516	Door	1	4	8	1
2020-03-16 15:56:32.444	Door	2	1	1	1
2020-03-16 15:56:32.460	Door	2	1	2	1
2020-03-16 15:56:33.732	Door	1	1	1	0
2020-03-16 15:56:33.735	Door	1	1	2	0
2020-03-16 15:56:33.800	Door	1	3	5	0
2020-03-16 15:56:33.805	Door	1	3	6	0
2020-03-16 15:56:33.851	Door	1	2	3	0
2020-03-16 15:56:33.856	Door	1	2	4	0
2020-03-16 15:56:33.922	Door	1	4	7	0
2020-03-16 15:56:33.927	Door	1	4	8	0
2020-03-16 15:56:34.813	Door	2	1	1	0
2020-03-16 15:56:34.818	Door	2	1	2	0
2020-03-16 15:56:35.895	Door	2	1	1	0
2020-03-16 15:56:35.913	Door	2	1	2	0
2020-03-16 15:56:35.929	Door	2	2	3	1
2020-03-16 15:56:35.945	Door	2	2	4	1
2020-03-16 15:56:35.964	Door	2	3	5	1
2020-03-16 15:56:35.985	Door	2	3	6	1
2020-03-16 15:56:36.005	Door	2	4	7	1
2020-03-16 15:56:36.026	Door	2	4	8	1
2020-03-16 15:56:38.312	Door	2	3	5	0
2020-03-16 15:56:38.317	Door	2	3	6	0
2020-03-16 15:56:38.322	Door	2	2	4	0
2020-03-16 15:56:38.344	Door	2	4	7	0
2020-03-16 15:56:38.349	Door	2	4	8	0
2020-03-16 15:56:41.667	Door	2	2	3	0
2020-03-16 15:56:50.415	Door	2	4	7	0
2020-03-16 15:56:50.431	Door	2	4	8	0
2020-03-16 16:00:44.144	Door	1	4	7	0
2020-03-16 16:00:44.161	Door	1	4	8	0
2020-03-16 16:00:56.333	Door	1	3	5	0
2020-03-16 16:00:56.333	Door	1	3	6	0
2020-03-16 16:01:05.490	Door	1	1	2	0
2020-03-16 16:01:06.915	Door	1	1	2	1
2020-03-16 16:01:26.525	Door	1	1	2	1
2020-03-16 16:01:26.624	Door	1	1	2	1
2020-03-16 16:01:26.708	Door	1	1	2	1
2020-03-16 16:01:26.807	Door	1	1	2	1
2020-03-16 16:01:52.143	Door	1	1	2	1
2020-03-16 16:01:52.970	Door	2	1	2	0
2020-03-16 16:01:53.524	Door	2	1	2	0
2020-03-16 16:01:54.194	Door	2	1	2	1
2020-03-16 16:01:57.210	Door	2	1	1	0
2020-03-16 16:01:57.415	Door	2	1	1	0
2020-03-16 16:01:57.664	Door	2	1	1	0
2020-03-16 16:01:57.791	Door	2	1	1	0
2020-03-16 16:01:58.130	Door	2	1	2	1
2020-03-16 16:01:58.141	Door	2	1	1	1
2020-03-16 16:01:59.487	Door	2	1	1	1
2020-03-16 16:01:59.487	Door	2	1	2	1
2020-03-16 16:02:01.242	Door	1	1	1	0
2020-03-16 16:02:01.791	Door	2	1	1	0
2020-03-16 16:02:01.797	Door	2	1	2	0
2020-03-16 16:02:02.666	Door	1	1	1	1
2020-03-16 16:02:09.548	Door	1	1	1	1
2020-03-16 16:02:09.548	Door	1	1	2	1
