VisitID	NosepokeOrder	Animal	Tag	Sex	Group	Cage	Corner	Side	SideCondition	SideError	TimeError	ConditionError	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	NosepokeDuration	LickStartTime
1	138	0	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	17:04:16.198	4070.346	2020-03-16	17:04:16.383	4070.531	0.185	
2	138	1	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	17:04:16.468	4070.616	2020-03-16	17:04:17.789	4071.937	1.321	
3	222	0	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	17:14:00.253	4654.401	2020-03-16	17:14:01.168	4655.316	0.915	
4	540	0	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:11:32.115	8106.263	2020-03-16	18:11:32.541	8106.689	0.426	
5	540	1	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:11:32.981	8107.129	2020-03-16	18:11:33.123	8107.271	0.142	
6	640	0	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:19:44.095	8598.243	2020-03-16	18:19:44.273	8598.421	0.178	
7	640	1	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:19:44.441	8598.589	2020-03-16	18:19:45.119	8599.267	0.678	
8	640	2	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:19:49.676	8603.824	2020-03-16	18:19:49.762	8603.91	0.086	
9	652	0	1045-0310	900200000470221	Unknown	Default	1	3	5	Correct	0	0	0	0	0	0	2020-03-16	18:20:22.620	8636.768	2020-03-16	18:20:25.990	8640.138	3.37	
10	691	0	1045-0310	900200000470221	Unknown	Default	1	2	4	Incorrect	1	0	0	0	0	0	2020-03-16	18:22:16.824	8750.972	2020-03-16	18:22:17.008	8751.156	0.184	
11	691	1	1045-0310	900200000470221	Unknown	Default	1	2	4	Incorrect	1	0	0	0	0	0	2020-03-16	18:22:17.264	8751.412	2020-03-16	18:22:17.287	8751.435	0.023	
12	691	2	1045-0310	900200000470221	Unknown	Default	1	2	3	Incorrect	1	0	0	0	0	0	2020-03-16	18:22:19.211	8753.359	2020-03-16	18:22:19.766	8753.914	0.555	
13	691	3	1045-0310	900200000470221	Unknown	Default	1	2	3	Incorrect	1	0	0	0	0	0	2020-03-16	18:22:22.409	8756.557	2020-03-16	18:22:22.465	8756.613	0.056	
14	694	0	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	18:22:30.731	8764.879	2020-03-16	18:22:30.847	8764.995	0.116	
15	694	1	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	124	16.3701173	6.10399992018938	2020-03-16	18:22:31.099	8765.247	2020-03-16	18:22:50.756	8784.904	19.657	2020-03-16 18:22:31.419
16	694	2	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	18:22:50.899	8785.047	2020-03-16	18:22:51.041	8785.189	0.142	
17	694	3	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	71	9.923828	3.7240001000464	2020-03-16	18:22:52.800	8786.948	2020-03-16	18:23:06.114	8800.262	13.314	2020-03-16 18:22:53.730
18	694	4	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	18:23:06.170	8800.318	2020-03-16	18:23:08.426	8802.574	2.256	
19	694	5	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	18:23:09.619	8803.767	2020-03-16	18:23:09.818	8803.966	0.199	
20	694	6	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	18:23:09.860	8804.008	2020-03-16	18:23:09.931	8804.079	0.071	
21	694	7	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	4	0.5664062	0.181999996304512	2020-03-16	18:23:10.189	8804.337	2020-03-16	18:23:11.890	8806.038	1.701	2020-03-16 18:23:10.408
22	694	8	1045-0310	900200000470221	Unknown	Default	1	1	1	Correct	0	0	0	0	0	0	2020-03-16	18:23:13.765	8807.913	2020-03-16	18:23:17.214	8811.362	3.449	
23	694	9	1045-0310	900200000470221	Unknown	Default	1	1	1	Correct	0	0	0	0	0	0	2020-03-16	18:23:30.244	8824.392	2020-03-16	18:23:30.262	8824.41	0.018	
24	694	10	1045-0310	900200000470221	Unknown	Default	1	1	1	Correct	0	0	0	0	0	0	2020-03-16	18:23:30.300	8824.448	2020-03-16	18:23:32.670	8826.818	2.37	
25	885	0	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:08.932	10123.08	2020-03-16	18:45:11.133	10125.281	2.201	
26	885	1	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:11.219	10125.367	2020-03-16	18:45:18.037	10132.185	6.818	
27	885	2	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:20.466	10134.614	2020-03-16	18:45:20.652	10134.8	0.186	
28	885	3	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:20.808	10134.956	2020-03-16	18:45:22.086	10136.234	1.278	
29	885	4	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:23.121	10137.269	2020-03-16	18:45:23.319	10137.467	0.198	
30	885	5	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:23.418	10137.566	2020-03-16	18:45:23.802	10137.95	0.384	
31	885	6	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:24.128	10138.276	2020-03-16	18:45:24.413	10138.561	0.285	
32	885	7	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:26.502	10140.65	2020-03-16	18:45:27.284	10141.432	0.782	
33	885	8	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:28.603	10142.751	2020-03-16	18:45:28.631	10142.779	0.028	
34	885	9	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:28.673	10142.821	2020-03-16	18:45:28.735	10142.883	0.062	
35	885	10	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:29.029	10143.177	2020-03-16	18:45:30.055	10144.203	1.026	
36	885	11	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:30.208	10144.356	2020-03-16	18:45:30.264	10144.412	0.056	
37	885	12	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:30.279	10144.427	2020-03-16	18:45:30.633	10144.781	0.354	
38	885	13	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:34.625	10148.773	2020-03-16	18:45:34.781	10148.929	0.156	
39	885	14	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:34.909	10149.057	2020-03-16	18:45:35.050	10149.198	0.141	
40	885	15	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:36.574	10150.722	2020-03-16	18:45:36.856	10151.004	0.282	
41	885	16	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:38.603	10152.751	2020-03-16	18:45:38.688	10152.836	0.085	
42	885	17	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:39.000	10153.148	2020-03-16	18:45:39.343	10153.491	0.343	
43	885	18	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:39.569	10153.717	2020-03-16	18:45:39.654	10153.802	0.085	
44	891	0	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:48.599	10162.747	2020-03-16	18:45:48.755	10162.903	0.156	
45	891	1	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:49.068	10163.216	2020-03-16	18:45:49.565	10163.713	0.497	
46	891	2	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:45:49.707	10163.855	2020-03-16	18:45:49.721	10163.869	0.014	
47	894	0	1045-0310	900200000470221	Unknown	Default	1	2	4	Incorrect	1	0	0	0	0	0	2020-03-16	18:46:11.536	10185.684	2020-03-16	18:46:11.720	10185.868	0.184	
48	894	1	1045-0310	900200000470221	Unknown	Default	1	2	3	Incorrect	1	0	0	0	0	0	2020-03-16	18:46:17.803	10191.951	2020-03-16	18:46:19.749	10193.897	1.946	
49	894	2	1045-0310	900200000470221	Unknown	Default	1	2	4	Incorrect	1	0	0	0	0	0	2020-03-16	18:46:24.410	10198.558	2020-03-16	18:46:24.975	10199.123	0.565	
50	894	3	1045-0310	900200000470221	Unknown	Default	1	2	3	Incorrect	1	0	0	0	0	0	2020-03-16	18:46:30.536	10204.684	2020-03-16	18:46:31.558	10205.706	1.022	
51	910	0	1045-0310	900200000470221	Unknown	Default	1	1	2	Incorrect	1	0	0	0	0	0	2020-03-16	18:47:02.470	10236.618	2020-03-16	18:47:04.724	10238.872	2.254	
52	910	1	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	18:47:05.392	10239.54	2020-03-16	18:47:05.576	10239.724	0.184	
53	910	2	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	131	25.5117188	15.1479999572039	2020-03-16	18:47:05.675	10239.823	2020-03-16	18:47:34.643	10268.791	28.968	2020-03-16 18:47:06.081
54	910	3	1045-0310	900200000470221	Unknown	Default	1	1	1	Correct	0	0	0	0	0	0	2020-03-16	18:47:39.842	10273.99	2020-03-16	18:47:42.550	10276.698	2.708	
55	910	4	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	18:47:45.983	10280.131	2020-03-16	18:47:46.863	10281.011	0.88	
56	1014	0	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	18:56:17.970	10792.118	2020-03-16	18:56:18.112	10792.26	0.142	
57	1026	0	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	18:57:08.316	10842.464	2020-03-16	18:57:08.491	10842.639	0.175	
58	1026	1	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	141	15.7695311	6.4880000166595	2020-03-16	18:57:08.845	10842.993	2020-03-16	18:57:27.008	10861.156	18.163	2020-03-16 18:57:09.518
59	1033	0	1045-0310	900200000470221	Unknown	Default	1	3	5	Correct	0	0	0	0	0	0	2020-03-16	18:57:58.469	10892.617	2020-03-16	18:57:58.511	10892.659	0.042	
60	1033	1	1045-0310	900200000470221	Unknown	Default	1	3	5	Correct	0	0	0	0	0	0	2020-03-16	18:57:58.625	10892.773	2020-03-16	18:58:03.878	10898.026	5.253	
61	1033	2	1045-0310	900200000470221	Unknown	Default	1	3	5	Correct	0	0	0	0	0	0	2020-03-16	18:58:03.948	10898.096	2020-03-16	18:58:04.275	10898.423	0.327	
62	1081	0	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	19:02:10.139	11144.287	2020-03-16	19:02:10.182	11144.33	0.043	
63	1081	1	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	3	0.5996093	0.140000000596046	2020-03-16	19:02:10.395	11144.543	2020-03-16	19:02:12.005	11146.153	1.61	2020-03-16 19:02:11.027
64	1081	2	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	19:02:12.708	11146.856	2020-03-16	19:02:12.793	11146.941	0.085	
65	1081	3	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	1	0.2392578	0.0560000017285347	2020-03-16	19:02:12.807	11146.955	2020-03-16	19:02:14.175	11148.323	1.368	2020-03-16 19:02:13.936
66	1109	0	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	19:04:32.216	11286.364	2020-03-16	19:04:32.717	11286.865	0.501	
67	1166	0	1045-0310	900200000470221	Unknown	Default	1	3	5	Correct	0	0	0	0	0	0	2020-03-16	19:08:55.547	11549.695	2020-03-16	19:08:55.661	11549.809	0.114	
68	1167	0	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	19:09:05.839	11559.987	2020-03-16	19:09:06.124	11560.272	0.285	
69	1167	1	1045-0310	900200000470221	Unknown	Default	1	4	7	Incorrect	1	0	0	0	0	0	2020-03-16	19:09:07.687	11561.835	2020-03-16	19:09:08.456	11562.604	0.769	
70	1202	0	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	19:11:42.208	11716.356	2020-03-16	19:11:42.307	11716.455	0.099	
71	1202	1	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	140	17.7275393	8.40200018510222	2020-03-16	19:11:42.462	11716.61	2020-03-16	19:12:02.603	11736.751	20.141	2020-03-16 19:11:43.125
72	1202	2	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	19:12:09.245	11743.393	2020-03-16	19:12:09.997	11744.145	0.752	
73	1202	3	1045-0310	900200000470221	Unknown	Default	1	1	1	Correct	0	0	0	0	0	0	2020-03-16	19:12:22.588	11756.736	2020-03-16	19:12:22.630	11756.778	0.042	
74	1202	4	1045-0310	900200000470221	Unknown	Default	1	1	1	Correct	0	0	0	0	0	0	2020-03-16	19:12:22.843	11756.991	2020-03-16	19:12:22.915	11757.063	0.072	
75	1215	0	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	19:13:12.263	11806.411	2020-03-16	19:13:12.319	11806.467	0.056	
76	1485	0	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	19:36:43.816	13217.964	2020-03-16	19:36:43.978	13218.126	0.162	
77	1485	1	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	36	4.9941405	1.7080000191927	2020-03-16	19:36:44.086	13218.234	2020-03-16	19:36:49.819	13223.967	5.733	2020-03-16 19:36:44.546
78	1691	0	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	19:55:12.666	14326.814	2020-03-16	19:55:12.807	14326.955	0.141	
79	1691	1	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	70	15.1884765	9.83399987220764	2020-03-16	19:55:13.020	14327.168	2020-03-16	19:55:29.043	14343.191	16.023	2020-03-16 19:55:13.369
80	1719	0	1045-0310	900200000470221	Unknown	Default	1	4	8	Incorrect	1	0	0	0	0	0	2020-03-16	19:57:21.121	14455.269	2020-03-16	19:57:21.137	14455.285	0.016	
81	1722	0	1045-0310	900200000470221	Unknown	Default	1	2	3	Incorrect	1	0	0	0	0	0	2020-03-16	19:57:35.810	14469.958	2020-03-16	19:57:36.350	14470.498	0.54	
82	1744	0	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	19:59:53.568	14607.716	2020-03-16	19:59:53.738	14607.886	0.17	
83	1744	1	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	84	12.1914062	3.73800000175834	2020-03-16	19:59:53.965	14608.113	2020-03-16	20:00:08.088	14622.236	14.123	2020-03-16 19:59:54.371
84	1809	0	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	0	0	0	2020-03-16	20:08:01.826	15095.974	2020-03-16	20:08:02.110	15096.258	0.284	
85	1809	1	1045-0310	900200000470221	Unknown	Default	1	1	2	Correct	0	0	0	21	3.6093752	0.881999995559454	2020-03-16	20:08:02.237	15096.385	2020-03-16	20:08:13.067	15107.215	10.83	2020-03-16 20:08:02.585
86	1809	2	1045-0310	900200000470221	Unknown	Default	1	1	1	Correct	0	0	0	9	1.5302734	0.322000000625849	2020-03-16	20:08:23.446	15117.594	2020-03-16	20:08:26.877	15121.025	3.431	2020-03-16 20:08:24.951
