VisitID	VisitOrder	Animal	Tag	Sex	Group	Module	Cage	Corner	CornerCondition	PlaceError	SideErrors	TimeErrors	ConditionErrors	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	StartDate	StartTime	StartTimecode	EndDate	EndTime	EndTimecode	VisitDuration	Session
1	138	0	1045-0310	900200000470221	Unknown	Default	Default	1	4	Incorrect	1	2	0	0	2	1.506	0	0	0	2020-03-16	17:04:14.684	4068.832	2020-03-16	17:04:22.905	4077.053	8.221	1
2	222	1	1045-0310	900200000470221	Unknown	Default	Default	1	4	Incorrect	1	1	0	0	1	0.915	0	0	0	2020-03-16	17:13:55.512	4649.66	2020-03-16	17:14:08.303	4662.451	12.791	1
3	540	2	1045-0310	900200000470221	Unknown	Default	Default	1	4	Incorrect	1	2	0	0	2	0.568	0	0	0	2020-03-16	18:11:30.233	8104.381	2020-03-16	18:11:38.802	8112.95	8.569	1
4	592	3	1045-0310	900200000470221	Unknown	Default	Default	1	1	Correct	0	0	0	0	0	0	0	0	0	2020-03-16	18:16:50.585	8424.733	2020-03-16	18:16:56.994	8431.142	6.409	1
5	640	4	1045-0310	900200000470221	Unknown	Default	Default	1	4	Incorrect	1	3	0	0	3	0.942	0	0	0	2020-03-16	18:19:43.648	8597.796	2020-03-16	18:19:52.132	8606.28	8.484	1
6	652	5	1045-0310	900200000470221	Unknown	Default	Default	1	3	Correct	0	0	0	0	1	3.37	0	0	0	2020-03-16	18:20:07.577	8621.725	2020-03-16	18:20:30.670	8644.818	23.093	1
7	666	6	1045-0310	900200000470221	Unknown	Default	Default	1	3	Correct	0	0	0	0	0	0	0	0	0	2020-03-16	18:20:33.205	8647.353	2020-03-16	18:20:37.365	8651.513	4.16	1
8	691	7	1045-0310	900200000470221	Unknown	Default	Default	1	2	Incorrect	1	4	0	0	4	0.818	0	0	0	2020-03-16	18:22:10.825	8744.973	2020-03-16	18:22:24.175	8758.323	13.35	1
9	694	8	1045-0310	900200000470221	Unknown	Default	Default	1	1	Correct	0	0	0	0	11	43.293	199	26.8603515	10.0100000165403	2020-03-16	18:22:29.974	8764.122	2020-03-16	18:23:36.144	8830.292	66.17	1
10	822	9	1045-0310	900200000470221	Unknown	Default	Default	1	3	Correct	0	0	0	0	0	0	0	0	0	2020-03-16	18:38:54.020	9748.168	2020-03-16	18:39:03.100	9757.248	9.08	1
11	885	10	1045-0310	900200000470221	Unknown	Default	Default	1	4	Incorrect	1	19	0	0	19	14.75	0	0	0	2020-03-16	18:45:08.342	10122.49	2020-03-16	18:45:43.565	10157.713	35.223	1
12	891	11	1045-0310	900200000470221	Unknown	Default	Default	1	4	Incorrect	1	3	0	0	3	0.667	0	0	0	2020-03-16	18:45:47.897	10162.045	2020-03-16	18:45:54.266	10168.414	6.369	1
13	894	12	1045-0310	900200000470221	Unknown	Default	Default	1	2	Incorrect	1	4	0	0	4	3.717	0	0	0	2020-03-16	18:46:11.283	10185.431	2020-03-16	18:46:34.429	10208.577	23.146	1
14	910	13	1045-0310	900200000470221	Unknown	Default	Default	1	1	Correct	0	1	0	0	5	34.994	131	25.5117188	15.1479999572039	2020-03-16	18:47:04.645	10238.793	2020-03-16	18:47:49.549	10283.697	44.904	1
15	1014	14	1045-0310	900200000470221	Unknown	Default	Default	1	4	Incorrect	1	1	0	0	1	0.142	0	0	0	2020-03-16	18:56:17.731	10791.879	2020-03-16	18:56:23.931	10798.079	6.2	1
16	1026	15	1045-0310	900200000470221	Unknown	Default	Default	1	1	Correct	0	0	0	0	2	18.338	141	15.7695311	6.4880000166595	2020-03-16	18:57:07.991	10842.139	2020-03-16	18:57:33.288	10867.436	25.297	1
17	1033	16	1045-0310	900200000470221	Unknown	Default	Default	1	3	Correct	0	0	0	0	3	5.622	0	0	0	2020-03-16	18:57:47.738	10881.886	2020-03-16	18:58:07.668	10901.816	19.93	1
18	1081	17	1045-0310	900200000470221	Unknown	Default	Default	1	1	Correct	0	0	0	0	4	3.106	4	0.8388671	0.196000002324581	2020-03-16	19:02:09.187	11143.335	2020-03-16	19:02:16.504	11150.652	7.317	1
19	1109	18	1045-0310	900200000470221	Unknown	Default	Default	1	4	Incorrect	1	1	0	0	1	0.501	0	0	0	2020-03-16	19:04:31.722	11285.87	2020-03-16	19:04:37.062	11291.21	5.34	1
20	1166	19	1045-0310	900200000470221	Unknown	Default	Default	1	3	Correct	0	0	0	0	1	0.114	0	0	0	2020-03-16	19:08:53.070	11547.218	2020-03-16	19:08:58.694	11552.842	5.624	1
21	1167	20	1045-0310	900200000470221	Unknown	Default	Default	1	4	Incorrect	1	2	0	0	2	1.054	0	0	0	2020-03-16	19:09:05.279	11559.427	2020-03-16	19:09:10.960	11565.108	5.681	1
22	1202	21	1045-0310	900200000470221	Unknown	Default	Default	1	1	Correct	0	0	0	0	5	21.106	140	17.7275393	8.40200018510222	2020-03-16	19:11:41.533	11715.681	2020-03-16	19:12:25.602	11759.75	44.069	1
23	1215	22	1045-0310	900200000470221	Unknown	Default	Default	1	4	Incorrect	1	1	0	0	1	0.056	0	0	0	2020-03-16	19:13:08.507	11802.655	2020-03-16	19:13:23.253	11817.401	14.746	1
24	1223	23	1045-0310	900200000470221	Unknown	Default	Default	1	2	Incorrect	1	0	0	0	0	0	0	0	0	2020-03-16	19:13:51.553	11845.701	2020-03-16	19:13:55.645	11849.793	4.092	1
25	1225	24	1045-0310	900200000470221	Unknown	Default	Default	1	3	Correct	0	0	0	0	0	0	0	0	0	2020-03-16	19:14:05.599	11859.747	2020-03-16	19:14:07.042	11861.19	1.443	1
26	1485	25	1045-0310	900200000470221	Unknown	Default	Default	1	1	Correct	0	0	0	0	2	5.895	36	4.9941405	1.7080000191927	2020-03-16	19:36:43.576	13217.724	2020-03-16	19:36:53.969	13228.117	10.393	1
27	1570	26	1045-0310	900200000470221	Unknown	Default	Default	1	1	Correct	0	0	0	0	0	0	0	0	0	2020-03-16	19:44:19.993	13674.141	2020-03-16	19:44:27.472	13681.62	7.479	1
