DateTime	Temperature	Illumination	Cage
2020-03-16 15:55:45	24.2	58	1
2020-03-16 15:55:45	24.6	119	2
2020-03-16 15:56:45	24.2	58	1
2020-03-16 15:56:45	24.6	119	2
2020-03-16 15:57:45	24.2	58	1
2020-03-16 15:57:45	24.6	123	2
2020-03-16 15:58:45	23.6	60	1
2020-03-16 15:58:45	24.6	119	2
2020-03-16 15:59:45	24.2	60	1
2020-03-16 15:59:45	24.6	121	2
2020-03-16 16:00:45	24.2	62	1
2020-03-16 16:00:45	24.6	119	2
2020-03-16 16:01:45	23.6	58	1
2020-03-16 16:01:45	24.6	119	2
2020-03-16 16:02:45	23.6	58	1
2020-03-16 16:02:45	24.6	121	2
2020-03-16 16:03:45	23.6	60	1
2020-03-16 16:03:45	24.6	121	2
2020-03-16 16:04:45	24.2	60	1
2020-03-16 16:04:45	24.6	119	2
2020-03-16 16:05:45	24.2	60	1
2020-03-16 16:05:45	24.6	123	2
2020-03-16 16:06:45	24.2	60	1
2020-03-16 16:06:45	24.6	123	2
2020-03-16 16:07:45	24.2	60	1
2020-03-16 16:07:45	24.6	121	2
2020-03-16 16:08:45	23.6	60	1
2020-03-16 16:08:45	24.6	121	2
2020-03-16 16:09:45	23.6	60	1
2020-03-16 16:09:45	24.6	121	2
2020-03-16 16:10:45	23.6	60	1
2020-03-16 16:10:45	24.6	121	2
2020-03-16 16:11:45	24.2	60	1
2020-03-16 16:11:45	24.6	119	2
2020-03-16 16:12:45	24.2	60	1
2020-03-16 16:12:45	24.6	121	2
2020-03-16 16:13:45	23.6	58	1
2020-03-16 16:13:45	24.6	123	2
2020-03-16 16:14:45	23.6	60	1
2020-03-16 16:14:45	24.6	121	2
2020-03-16 16:15:45	24.2	60	1
2020-03-16 16:15:45	24.6	123	2
2020-03-16 16:16:45	24.2	60	1
2020-03-16 16:16:45	24.6	121	2
2020-03-16 16:17:45	24.2	60	1
2020-03-16 16:17:45	24.6	121	2
2020-03-16 16:18:45	23.6	60	1
2020-03-16 16:18:45	24.6	121	2
2020-03-16 16:19:45	23.6	60	1
2020-03-16 16:19:45	24.6	119	2
2020-03-16 16:20:45	24.2	62	1
2020-03-16 16:20:45	24.6	119	2
2020-03-16 16:21:45	24.2	60	1
